symbol,rule,n_trades,gross_bps,t,hit_rate,cost_bps,net_bps,ratio,ann_net_pct,sharpe
NZDUSD,h15_usd+_hivol,294,-1.0035,-0.85,0.3878,2.9048,-3.9083,-0.35,-1.76,-1.29
NZDUSD,h15_usd-_hivol,294,1.0035,0.85,0.4898,2.9048,-1.9013,0.35,-0.85,-0.63
NZDUSD,h16_usd+_hivol,293,1.4127,1.06,0.4334,2.9048,-1.4921,0.49,-0.67,-0.44
NZDUSD,h16_usd-_hivol,293,-1.4127,-1.06,0.4505,2.9048,-4.3175,-0.49,-1.93,-1.27
NZDUSD,h17_usd+_hivol,292,0.8553,0.79,0.4521,2.9048,-2.0495,0.29,-0.92,-0.74
NZDUSD,h17_usd-_hivol,292,-0.8553,-0.79,0.4281,2.9048,-3.76,-0.29,-1.68,-1.36
NZDUSD,h18_usd+_hivol,287,2.4425,3.23,0.4634,2.9048,-0.4623,0.84,-0.2,-0.24
NZDUSD,h18_usd-_hivol,287,-2.4425,-3.23,0.3345,2.9048,-5.3473,-0.84,-2.35,-2.77
NZDUSD,h19_usd+_hivol,281,-1.413,-1.44,0.3737,2.9048,-4.3178,-0.49,-1.86,-1.72
NZDUSD,h19_usd-_hivol,281,1.413,1.44,0.4306,2.9048,-1.4918,0.49,-0.64,-0.59
NZDUSD,h20_usd+_hivol,276,0.3377,0.4,0.4094,2.9048,-2.5671,0.12,-1.08,-1.18
NZDUSD,h20_usd-_hivol,276,-0.3377,-0.4,0.413,2.9048,-3.2425,-0.12,-1.37,-1.49
NZDUSD,h21_usd+_hivol,249,-1.0877,-1.26,0.3494,2.9048,-3.9925,-0.37,-1.52,-1.8
NZDUSD,h21_usd-_hivol,249,1.0877,1.26,0.4257,2.9048,-1.8171,0.37,-0.69,-0.82
NZDUSD,h22_usd+_hivol,162,-0.8157,-1.07,0.3457,2.9048,-3.7205,-0.28,-0.92,-1.91
NZDUSD,h22_usd-_hivol,162,0.8157,1.07,0.3086,2.9048,-2.0891,0.28,-0.52,-1.07
NZDUSD,h23_usd+_hivol,31,1.8648,1.24,0.4516,2.9048,-1.04,0.64,-0.05,-0.27
NZDUSD,h23_usd-_hivol,31,-1.8648,-1.24,0.1935,2.9048,-4.7696,-0.64,-0.23,-1.24
