session,side,rng_pips,sweep_m,depth_pips,reclaim_min,entry_px,spread_pips,fade_outcome,fade_r,fade_minutes,fade_rr,cont_bps_60,cont_bps_120,symbol,mode,window,reclaimed,sweep_hour
2015-01-01,-1,43.05000000000225,603,11.199999999997878,19.0,1.20477,0.4301587301588696,SL,-1.0,359.0,2.6698717948722908,-21.18168905280514,-3.821010574232492,EURUSD,asia,A00-07/obs16,True,7
2015-01-04,1,50.149999999997696,700,0.14999999999876223,0.0,1.1974749999999998,0.25042016806713213,TP,10.462365591398553,119.0,10.462365591398553,-15.115074990814787,-40.29294852523699,EURUSD,asia,A00-07/obs16,True,8
2015-01-05,-1,34.650000000002734,664,0.4999999999988347,0.0,1.193465,0.24137931034472443,SL,-1.0,16.0,8.53750000000136,-2.0109428808415455,22.874475269593045,EURUSD,asia,A00-07/obs16,True,8
2015-01-06,1,26.54999999999852,614,1.6499999999997073,0.0,1.1879,0.431521739130631,SL,-1.0,9.0,3.394366197182874,5.892652703885134,-3.2830493635944547,EURUSD,asia,A00-07/obs16,True,7
2015-01-07,-1,30.49999999999997,600,13.350000000000861,54.0,1.18188,0.2539473684209925,SL,-1.0,63.0,1.5955678670359577,-5.671381531611166,14.728662485081513,EURUSD,asia,A00-07/obs16,True,7
2015-01-08,-1,24.600000000001288,601,0.3500000000000725,0.0,1.179065,0.24495412844038278,SL,-1.0,29.0,6.657534246572043,-3.477346360660369,-11.83145895883191,EURUSD,asia,A00-07/obs16,True,7
2015-01-11,-1,25.450000000000195,666,59.149999999998926,,,,,,,,30.90224421216161,29.213596987453506,EURUSD,asia,A00-07/obs16,False,8
2015-01-12,-1,39.749999999998394,704,1.1000000000027654,0.0,1.18204,0.2509259259260278,SL,-1.0,32.0,8.637362637360825,14.212476524033502,15.94673705226209,EURUSD,asia,A00-07/obs16,True,8
2015-01-13,1,31.050000000001354,630,3.8500000000007972,9.0,1.179525,0.21562499999992074,SL,-1.0,3.0,4.453237410071324,7.670954207373253,-32.590960140701874,EURUSD,asia,A00-07/obs16,True,7
2015-01-14,-1,30.34999999999899,702,1.849999999998797,1.0,1.176015,0.21595744680839,SL,-1.0,5.0,6.183673469389004,81.72324647935334,59.868018232532265,EURUSD,asia,A00-07/obs16,True,8
2015-01-15,1,46.34999999999945,638,2.300000000001745,2.0,1.16451,0.31181818181826654,TP,6.825757575756462,178.0,6.825757575756462,-3.9495996737279064,-14.768068345246046,EURUSD,asia,A00-07/obs16,True,7
