tf,family,exit,ALL,FORM,OOS,n_lệnh,thắng%,gross/lệnh,phí/lệnh,net/lệnh,n_cụ
M30,squeeze,time_only,-0.161,-0.232,-0.044,451,49.9,0.48,2.77,-2.29,7
M30,range_exp,sl_tp_2R,-7.02,-6.745,-7.664,79196,32.4,-2.01,1.78,-3.79,27
M30,range_exp,sl_tp_3R,-7.16,-7.022,-7.515,76009,30.0,-2.5,1.8,-4.3,27
M30,range_exp,sl_be_3R,-9.077,-9.014,-9.384,79515,22.0,-3.06,1.77,-4.83,27
M30,range_exp,time_only,-3.102,-3.253,-2.851,60916,39.3,-0.56,1.99,-2.55,27
M30,pullback,sl_tp_2R,-5.278,-5.235,-5.408,62828,30.5,-3.58,1.91,-5.5,27
M30,pullback,sl_tp_3R,-4.957,-4.931,-5.095,50317,24.3,-4.46,2.01,-6.47,27
M30,pullback,sl_be_3R,-7.77,-7.816,-7.815,71444,14.2,-5.2,1.88,-7.08,27
M30,pullback,time_only,-1.57,-1.699,-1.348,18135,35.5,-2.32,2.92,-5.24,27
M30,session_br,sl_tp_2R,-3.944,-3.78,-4.395,34523,31.6,-2.57,1.79,-4.36,27
M30,session_br,sl_tp_3R,-4.165,-3.968,-4.685,31949,26.8,-3.23,1.86,-5.08,27
M30,session_br,sl_be_3R,-6.555,-6.496,-6.923,34903,14.6,-4.53,1.76,-6.29,27
M30,session_br,time_only,-0.879,-0.762,-1.148,22759,44.9,0.31,2.35,-2.05,27
