tf,win_d,n_leg,reb_d,ALL,FORM,OOS,gross,phi,phi%,turn/nam
H4,20,3,2,0.188,0.078,0.416,0.1953,0.1123,57.5,12.3
H4,20,3,5,0.076,-0.099,0.412,0.1087,0.0747,68.7,7.0
H4,20,3,10,0.149,-0.133,0.715,0.1176,0.0522,44.4,4.1
H4,20,5,1,0.229,0.169,0.34,0.2125,0.1185,55.8,13.5
H4,20,5,2,0.188,0.085,0.392,0.1625,0.087,53.5,9.2
H4,20,5,5,0.029,-0.198,0.461,0.0722,0.0605,83.8,5.4
H4,20,5,10,0.192,-0.103,0.783,0.1227,0.0459,37.4,3.4
H4,20,7,1,0.18,0.091,0.347,0.1589,0.0936,58.9,10.5
H4,20,7,2,0.155,0.055,0.356,0.1249,0.0695,55.6,7.0
H4,20,7,5,0.044,-0.175,0.474,0.0652,0.0494,75.8,4.2
H4,20,7,10,0.192,-0.154,0.898,0.1093,0.0411,37.7,2.8
