cong cu,N,k,ts,ALL,FORM,OOS,n,thang%,net,t,nam+
EURCHF,48,2.0,1.0,-0.107,0.211,-0.586,152,58.6,-1.77,-0.34,3/7
EURCHF,48,2.0,2.0,-0.112,0.245,-0.593,142,60.6,-2.11,-0.35,4/7
EURCHF,48,2.0,3.0,-0.125,0.196,-0.586,142,60.6,-2.4,-0.39,4/7
EURCHF,48,2.5,1.0,-0.533,-0.23,-0.939,84,53.6,-12.55,-1.65,2/7
EURCHF,48,2.5,2.0,-0.695,-0.292,-1.2,76,50.0,-19.23,-2.18,2/7
EURCHF,48,2.5,3.0,-0.698,-0.323,-1.204,76,50.0,-19.85,-2.19,1/7
EURCHF,96,1.5,1.0,0.13,0.052,0.274,125,66.4,2.75,0.4,3/7
EURCHF,96,1.5,2.0,0.182,0.078,0.354,116,65.5,4.03,0.56,4/7
EURCHF,96,1.5,3.0,0.135,0.089,0.208,115,65.2,3.06,0.41,4/7
EURCHF,96,2.0,1.0,0.356,0.46,0.137,90,67.8,9.68,1.09,4/7
EURCHF,96,2.0,2.0,0.396,0.464,0.271,84,67.9,11.48,1.22,5/7
EURCHF,96,2.0,3.0,0.32,0.446,0.086,83,67.5,9.66,0.98,5/7
EURCHF,96,2.5,1.0,0.357,0.395,0.297,57,66.7,13.58,1.09,4/7
EURCHF,96,2.5,2.0,0.465,0.482,0.476,55,65.5,17.24,1.43,4/7
EURCHF,96,2.5,3.0,0.465,0.482,0.476,55,65.5,17.24,1.43,4/7
EURCHF,192,1.5,1.0,0.338,0.421,0.164,72,75.0,12.54,1.03,4/7
EURCHF,192,1.5,2.0,0.332,0.412,0.16,68,75.0,13.25,1.01,4/7
EURCHF,192,1.5,3.0,0.334,0.415,0.16,67,74.6,13.09,1.01,4/7
EURCHF,192,2.0,1.0,0.451,0.503,0.362,52,76.9,22.25,1.38,4/7
AUDCAD,12,1.5,1.0,0.627,0.811,0.327,538,64.3,4.32,1.93,5/7
AUDCAD,12,1.5,2.0,0.838,1.002,0.563,503,64.8,6.06,2.61,5/7
AUDCAD,12,1.5,3.0,0.857,1.0,0.614,498,64.7,6.18,2.66,5/7
AUDCAD,12,2.0,1.0,0.777,0.576,1.211,158,65.2,9.18,2.43,4/7
AUDCAD,12,2.0,2.0,0.723,0.576,1.1,156,64.7,9.75,2.25,5/7
AUDCAD,12,2.0,3.0,0.852,0.739,1.115,155,64.5,10.47,2.67,5/7
AUDCAD,24,1.5,1.0,0.532,0.55,0.502,380,63.2,5.68,1.66,5/7
AUDCAD,24,1.5,2.0,0.687,0.692,0.68,347,61.7,6.99,2.16,6/7
AUDCAD,24,1.5,3.0,0.695,0.695,0.695,346,61.6,7.05,2.18,6/7
AUDCAD,24,2.0,1.0,0.658,0.765,0.473,220,67.7,10.07,2.03,7/7
AUDCAD,24,2.0,2.0,1.062,1.067,1.059,217,68.7,13.73,3.34,7/7
AUDCAD,24,2.0,3.0,1.062,1.067,1.059,217,68.7,13.73,3.34,7/7
AUDCAD,24,2.5,1.0,0.751,1.011,0.389,63,66.7,17.02,2.32,6/7
AUDCAD,24,2.5,2.0,0.94,1.157,0.63,63,68.3,19.99,2.98,6/7
AUDCAD,24,2.5,3.0,0.94,1.157,0.63,63,68.3,19.99,2.98,6/7
AUDCAD,48,1.5,1.0,0.768,0.664,0.984,233,68.2,12.36,2.4,6/7
AUDCAD,48,1.5,2.0,0.801,0.682,1.085,216,68.1,12.98,2.49,7/7
AUDCAD,48,1.5,3.0,0.798,0.676,1.085,215,67.9,12.92,2.48,7/7
AUDCAD,48,2.0,1.0,0.578,0.542,0.649,154,63.6,11.81,1.8,5/7
AUDCAD,48,2.0,2.0,0.702,0.668,0.778,149,65.1,14.31,2.2,5/7
