cong cu,N,k,ts,ALL,FORM,OOS,n,thang%,net,t,nam+
GBPCHF,48,2.5,1.0,-0.383,-0.662,0.079,78,57.7,-13.07,-1.16,1/7
GBPCHF,48,2.5,2.0,-0.265,-0.456,0.147,77,58.4,-10.82,-0.8,2/7
GBPCHF,48,2.5,3.0,-0.268,-0.457,0.147,77,58.4,-11.06,-0.81,2/7
GBPCHF,96,1.5,1.0,0.333,0.564,-0.234,130,70.8,11.88,1.02,4/7
GBPCHF,96,1.5,2.0,0.257,0.509,-0.288,122,72.1,8.96,0.79,4/7
GBPCHF,96,1.5,3.0,0.186,0.417,-0.342,119,71.4,6.84,0.57,3/7
GBPCHF,96,2.0,1.0,-0.102,-0.122,-0.063,83,63.9,-4.72,-0.31,3/7
GBPCHF,96,2.0,2.0,-0.026,0.069,-0.233,79,67.1,-1.29,-0.08,2/7
GBPCHF,96,2.0,3.0,-0.075,-0.007,-0.222,78,66.7,-3.65,-0.23,2/7
GBPCHF,96,2.5,1.0,-0.073,-0.15,0.1,52,61.5,-4.65,-0.22,3/7
GBPCHF,96,2.5,2.0,-0.096,-0.096,-0.097,51,62.7,-6.01,-0.29,3/7
GBPCHF,96,2.5,3.0,-0.09,-0.096,-0.08,51,62.7,-5.61,-0.27,3/7
GBPCHF,192,1.5,1.0,0.263,0.402,-0.053,70,75.7,15.56,0.8,4/7
GBPCHF,192,1.5,2.0,0.36,0.49,0.074,66,75.8,20.52,1.1,4/7
GBPCHF,192,1.5,3.0,0.36,0.49,0.074,66,75.8,20.52,1.1,4/7
AUDCHF,12,1.5,1.0,0.293,0.417,0.126,547,63.4,2.8,0.9,4/7
AUDCHF,12,1.5,2.0,0.251,0.285,0.195,505,64.8,2.72,0.78,4/7
AUDCHF,12,1.5,3.0,0.289,0.333,0.222,496,64.7,3.05,0.9,4/7
AUDCHF,12,2.0,1.0,0.398,0.394,0.403,173,67.6,6.83,1.21,5/7
AUDCHF,12,2.0,2.0,0.31,0.297,0.33,169,69.8,6.0,0.95,4/7
AUDCHF,12,2.0,3.0,0.382,0.41,0.341,168,69.6,7.17,1.17,4/7
AUDCHF,24,1.5,1.0,-0.209,-0.043,-0.496,375,64.3,-3.36,-0.65,2/7
AUDCHF,24,1.5,2.0,-0.079,0.028,-0.31,334,64.4,-1.37,-0.24,3/7
AUDCHF,24,1.5,3.0,-0.05,0.074,-0.295,331,64.4,-0.82,-0.15,3/7
AUDCHF,24,2.0,1.0,-0.174,0.091,-0.575,218,63.8,-4.01,-0.54,3/7
AUDCHF,24,2.0,2.0,-0.22,-0.084,-0.541,200,64.0,-5.69,-0.68,4/7
AUDCHF,24,2.0,3.0,-0.144,0.071,-0.56,200,64.0,-3.3,-0.45,4/7
AUDCHF,24,2.5,1.0,-0.294,-0.427,0.012,67,56.7,-11.9,-0.9,2/7
AUDCHF,24,2.5,2.0,-0.344,-0.405,-0.219,65,55.4,-18.73,-1.05,3/7
AUDCHF,24,2.5,3.0,-0.304,-0.336,-0.249,65,55.4,-12.86,-0.93,3/7
AUDCHF,48,1.5,1.0,0.077,0.105,0.023,228,65.8,1.96,0.24,3/7
AUDCHF,48,1.5,2.0,0.01,0.048,-0.057,205,63.9,0.28,0.03,3/7
AUDCHF,48,1.5,3.0,0.009,0.031,-0.036,204,64.2,0.25,0.03,3/7
AUDCHF,48,2.0,1.0,0.095,0.018,0.263,154,63.6,3.41,0.29,3/7
AUDCHF,48,2.0,2.0,0.074,0.065,0.089,146,63.7,2.66,0.23,4/7
AUDCHF,48,2.0,3.0,-0.003,-0.098,0.18,145,63.4,-0.12,-0.01,4/7
AUDCHF,48,2.5,1.0,-0.306,-0.576,0.221,76,60.5,-17.02,-0.91,3/7
AUDCHF,48,2.5,2.0,-0.267,-0.408,-0.028,74,60.8,-16.95,-0.8,3/7
AUDCHF,48,2.5,3.0,-0.254,-0.413,0.064,74,60.8,-16.01,-0.75,3/7
AUDCHF,96,1.5,1.0,-0.021,-0.176,0.348,133,68.4,-0.92,-0.06,3/7
AUDCHF,96,1.5,2.0,-0.04,-0.15,0.184,120,66.7,-1.69,-0.12,2/7
AUDCHF,96,1.5,3.0,-0.042,-0.152,0.184,119,67.2,-1.84,-0.13,2/7
AUDCHF,96,2.0,1.0,-0.172,-0.297,0.139,84,59.5,-11.53,-0.52,2/7
AUDCHF,96,2.0,2.0,-0.123,-0.194,0.021,80,60.0,-7.17,-0.37,2/7
AUDCHF,96,2.0,3.0,-0.154,-0.24,0.021,79,59.5,-9.16,-0.47,2/7
AUDCHF,96,2.5,1.0,-0.038,-0.171,0.32,51,58.8,-3.83,-0.11,3/7
AUDCHF,192,1.5,1.0,-0.141,-0.207,-0.022,75,65.3,-11.39,-0.43,4/7
AUDCHF,192,1.5,2.0,-0.168,-0.233,-0.044,68,66.2,-13.34,-0.5,4/7
AUDCHF,192,1.5,3.0,-0.157,-0.233,-0.008,68,66.2,-12.37,-0.47,4/7
AUDCHF,192,2.0,1.0,-0.107,-0.175,0.003,53,64.2,-9.65,-0.32,3/7
AUDCHF,192,2.0,2.0,-0.068,-0.137,0.055,50,66.0,-6.12,-0.2,4/7
AUDCHF,192,2.0,3.0,-0.068,-0.137,0.055,50,66.0,-6.12,-0.2,4/7
EURJPY,12,1.5,1.0,0.125,-0.206,0.749,545,59.8,1.06,0.39,4/7
EURJPY,12,1.5,2.0,0.205,-0.083,0.762,500,61.4,1.86,0.62,4/7
EURJPY,12,1.5,3.0,0.317,0.056,0.836,495,61.6,2.88,0.97,5/7
EURJPY,12,2.0,1.0,0.025,0.046,-0.016,172,58.7,0.37,0.08,3/7
EURJPY,12,2.0,2.0,-0.021,-0.031,0.0,166,59.0,-0.35,-0.07,3/7
EURJPY,12,2.0,3.0,-0.004,-0.045,0.095,163,58.9,-0.07,-0.01,3/7
EURJPY,24,1.5,1.0,0.351,0.169,0.668,379,65.7,4.48,1.11,5/7
EURJPY,24,1.5,2.0,0.402,0.203,0.779,346,67.1,5.56,1.25,5/7
EURJPY,24,1.5,3.0,0.425,0.206,0.848,339,67.3,6.0,1.32,5/7
EURJPY,24,2.0,1.0,0.339,0.315,0.389,220,63.2,6.0,1.03,6/7
EURJPY,24,2.0,2.0,0.214,0.164,0.313,206,63.1,4.1,0.65,5/7
EURJPY,24,2.0,3.0,0.253,0.188,0.383,204,63.7,5.06,0.77,6/7
EURJPY,24,2.5,1.0,0.163,0.394,-0.361,76,63.2,5.49,0.49,4/7
EURJPY,24,2.5,2.0,0.452,0.699,-0.1,75,65.3,13.15,1.37,5/7
EURJPY,24,2.5,3.0,0.308,0.586,-0.205,73,65.8,10.14,0.93,4/7
EURJPY,48,1.5,1.0,0.524,0.617,0.372,241,68.0,11.88,1.64,5/7
EURJPY,48,1.5,2.0,0.521,0.622,0.358,219,68.5,12.9,1.61,6/7
EURJPY,48,1.5,3.0,0.566,0.655,0.417,217,68.2,13.66,1.76,6/7
EURJPY,48,2.0,1.0,0.303,0.613,-0.206,161,67.1,8.96,0.93,5/7
EURJPY,48,2.0,2.0,0.473,0.885,-0.126,151,68.2,14.69,1.46,5/7
EURJPY,48,2.0,3.0,0.496,0.911,-0.152,150,68.0,14.89,1.53,5/7
EURJPY,48,2.5,1.0,0.112,0.399,-0.296,71,64.8,6.07,0.34,5/7
EURJPY,48,2.5,2.0,0.157,0.519,-0.284,69,65.2,9.08,0.47,4/7
EURJPY,48,2.5,3.0,0.152,0.519,-0.394,68,64.7,8.15,0.46,4/7
EURJPY,96,1.5,1.0,0.273,0.322,0.19,133,66.2,10.19,0.84,5/7
EURJPY,96,1.5,2.0,0.326,0.342,0.299,123,68.3,12.6,1.0,5/7
EURJPY,96,1.5,3.0,0.346,0.348,0.343,122,68.0,13.18,1.06,5/7
EURJPY,96,2.0,1.0,0.23,0.326,0.055,87,64.4,11.5,0.7,5/7
EURJPY,96,2.0,2.0,0.191,0.364,-0.103,79,63.3,10.01,0.58,5/7
EURJPY,96,2.0,3.0,0.208,0.364,-0.069,79,63.3,10.72,0.63,5/7
EURJPY,96,2.5,1.0,0.575,0.752,0.212,57,68.4,39.31,1.77,5/7
EURJPY,96,2.5,2.0,0.649,0.903,0.175,57,70.2,43.54,2.01,5/7
EURJPY,96,2.5,3.0,0.671,0.903,0.224,57,70.2,44.42,2.09,5/7
EURJPY,192,1.5,1.0,0.258,0.517,-0.079,73,67.1,14.86,0.79,3/7
EURJPY,192,1.5,2.0,0.272,0.599,-0.172,69,66.7,15.68,0.83,4/7
EURJPY,192,1.5,3.0,0.254,0.599,-0.239,68,66.2,14.53,0.77,3/7
EURJPY,192,2.0,1.0,0.386,0.738,-0.015,53,71.7,28.43,1.16,5/7
EURJPY,192,2.0,2.0,0.423,0.741,0.018,50,72.0,30.95,1.27,5/7
EURJPY,192,2.0,3.0,0.444,0.741,0.052,50,72.0,32.0,1.34,5/7
