biến thể,ALL,FORM,OOS,n,thắng%,gross/lệnh,phí/lệnh,net/lệnh,t,%/năm,MaxDD%,năm+
USDJPY,0.319,0.342,0.281,1636,44.1,2.1,1.2,0.9,0.98,2.24,12.25,4/7
EURUSD,-0.225,-0.006,-0.634,1689,35.3,0.53,1.02,-0.49,-0.69,-1.28,13.8,2/7
GBPUSD,-0.545,-0.51,-0.683,1688,34.4,-0.14,1.31,-1.46,-1.68,-3.76,35.8,2/7
NZDUSD,-0.655,-0.516,-0.963,1658,41.9,0.93,3.05,-2.12,-2.02,-5.37,40.22,0/7
USDCHF,-0.845,-0.995,-0.601,1664,32.2,-0.13,1.84,-1.97,-2.6,-5.01,35.8,0/7
AUDUSD,-1.03,-0.693,-1.73,1639,41.4,-0.74,2.67,-3.41,-3.17,-8.54,61.62,0/7
USDCAD,-1.353,-1.157,-1.927,1682,32.6,-0.97,1.71,-2.68,-4.17,-6.88,48.81,1/7
