session,t_entry,symbol,side,sweep_side,asia_rng_pips,asia_rng_rel,depth_pips,depth_frac,wick_body,close_pos,sweep_hour,dow,h1_bias,aligned,sl_pips,tp_pips,rr,cost_pips,cost_r,outcome,r_gross,r_net,minutes
2015-01-15,2015-01-16 07:45:00,EURUSD,-1,1,46.34999999999945,1.506092607636018,2.4500000000005073,0.052858683926656665,0.6282051282050771,0.7098214285715126,7,4,-1,True,6.500000000000394,45.29999999999923,6.9692307692302276,1.020625126525655,0.15701925023470661,TP,6.9692307692302276,6.812211518995521,165.0
2015-01-18,2015-01-19 07:45:00,EURUSD,-1,1,21.94999999999947,0.7069243156199199,11.400000000001409,0.5193621867882317,1.193717277486732,0.1373134328357849,7,0,-1,True,17.450000000001076,18.899999999999473,1.0830945558738285,1.0108303150495384,0.05792723868478372,TP,1.0830945558738285,1.0251673171890447,15.0
2015-01-19,2015-01-20 10:15:00,EURUSD,-1,1,33.34999999999866,1.0836718115352701,13.250000000002427,0.39730134932542605,0.8079268292685078,0.06560283687946766,10,1,-1,True,29.50000000000008,20.100000000000673,0.6813559322034107,0.9087039904207052,0.03080352509900687,TP,0.6813559322034107,0.6505524071044039,360.0
2015-01-20,2015-01-21 16:00:00,EURUSD,-1,1,47.20000000000057,1.5201288244766027,24.699999999999722,0.5233050847457504,4.295652173913053,0.1782945736434066,15,2,-1,True,29.3499999999991,45.550000000000864,1.5519591141397706,0.9730241006776599,0.03315243954608824,FLAT,0.14139693356049982,0.10824449401441158,240.0
2015-01-21,2015-01-22 07:45:00,EURUSD,1,-1,40.400000000002656,1.25465838509325,2.6499999999973767,0.06559405940587135,4.076923076934113,0.6896551724136875,7,3,-1,False,10.899999999998133,35.15000000000157,3.224770642202531,0.9720467497428106,0.0891786008938511,TP,3.224770642202531,3.13559204130868,90.0
2015-01-25,2015-01-26 07:15:00,EURUSD,-1,1,79.94999999999973,2.3514705882352382,9.249999999998426,0.11569731081924273,2.642857142856146,0.34474885844746356,7,0,-1,True,17.399999999996307,74.80000000000153,4.298850574713644,1.107049254580132,0.06362352037818202,SL,-1.0,-1.063623520378182,30.0
2015-01-27,2015-01-28 09:00:00,EURUSD,1,-1,51.699999999998965,1.4963820549926923,4.00000000000178,0.07736943907160271,1.0256410256406023,0.51549295774639,8,2,1,True,12.250000000000316,46.4500000000001,3.791836734693788,1.0023295290505916,0.08182281869800537,SL,-1.0,-1.0818228186980055,345.0
2015-01-28,2015-01-29 07:30:00,EURUSD,-1,1,34.14999999999946,0.9855699855698922,8.399999999997299,0.2459736456807447,1.4117647058816065,0.16949152542367268,7,3,-1,True,15.299999999995872,30.250000000000554,1.9771241830071056,0.9487030092456152,0.062006732630449105,SL,-1.0,-1.0620067326304492,105.0
2015-01-29,2015-01-30 09:00:00,EURUSD,-1,1,25.15000000000045,0.7279305354558536,3.4000000000000696,0.1351888667992051,0.6538461538460717,0.18128654970748084,8,4,1,False,9.799999999999809,21.75000000000038,2.219387755102123,0.9520884342183114,0.09715188104268674,TP,2.219387755102123,2.1222358740594363,30.0
2015-02-01,2015-02-02 09:00:00,EURUSD,-1,1,33.10000000000146,0.9650145772595367,9.849999999997916,0.2975830815709209,0.82083333333325,0.13265306122461618,8,0,-1,True,15.799999999999148,30.1499999999999,1.9082278481013624,0.9850285148496435,0.062343576889221305,SL,-1.0,-1.0623435768892213,45.0
