tf,pair,ALL,FORM,OOS,adf_med,n,beta_med,gross/l,phi/l,net/l,%tt,hold
H4,AUDUSD~EURUSD,-0.359,,-0.576,0.4311,36,1.0,-8.45,3.39,-11.84,0.087,23.8
H4,USDCAD~EURUSD,-0.223,-0.285,,0.1618,7,-0.013,-29.08,7.25,-36.33,0.062,86.6
H4,USDCHF~EURUSD,-0.313,-0.345,-0.256,0.2892,38,-0.25,-3.3,3.01,-6.31,0.097,24.9
H4,NZDUSD~EURUSD,-0.194,-0.248,,0.2262,13,0.616,-6.9,3.55,-10.45,0.028,20.8
H4,USDJPY~GBPUSD,0.173,0.124,0.476,0.3594,39,-0.93,8.44,2.54,5.9,0.083,20.9
H4,AUDUSD~GBPUSD,-0.484,-0.548,-0.602,0.3983,41,1.262,-9.83,3.72,-13.55,0.112,26.6
H4,USDCAD~GBPUSD,-0.092,-0.122,-0.004,0.1764,44,-0.11,1.32,3.89,-2.57,0.165,36.2
H4,USDCHF~GBPUSD,-0.495,-0.567,-0.477,0.2202,39,-0.373,-7.86,2.91,-10.77,0.086,21.6
H4,NZDUSD~GBPUSD,0.073,0.024,0.131,0.2413,13,1.0,8.23,4.23,4.0,0.04,29.8
H4,AUDUSD~USDJPY,0.091,0.284,-0.083,0.1062,27,1.0,11.65,5.58,6.08,0.146,52.9
H4,USDCAD~USDJPY,-0.081,-0.004,-0.303,0.1604,21,0.228,-1.52,3.29,-4.8,0.055,24.8
H4,USDCHF~USDJPY,-0.19,-0.612,0.522,0.2221,12,0.211,-14.56,5.97,-20.54,0.083,65.2
H4,NZDUSD~USDJPY,-0.071,-0.062,-0.087,0.0993,15,-0.349,-0.54,6.24,-6.77,0.091,59.5
H4,USDCAD~AUDUSD,-0.209,-0.015,-0.83,0.1989,28,-0.442,-1.2,4.7,-5.9,0.12,41.9
H4,USDCHF~AUDUSD,-0.309,-0.741,0.169,0.4884,7,0.251,-50.68,10.13,-60.81,0.087,121.3
H4,NZDUSD~AUDUSD,-0.215,0.07,-0.571,0.3778,18,0.967,-1.18,6.29,-7.46,0.098,53.2
H4,USDCHF~USDCAD,-0.326,-0.416,,0.3751,4,0.42,-40.92,4.12,-45.04,0.015,36.5
H4,NZDUSD~USDCAD,0.604,,0.969,0.1179,30,1.0,16.92,3.42,13.5,0.057,18.7
H4,NZDUSD~USDCHF,0.187,,0.299,0.218,7,1.0,24.7,4.45,20.25,0.019,27.1
