symbol,rule,n_trades,gross_bps,t,hit_rate,cost_bps,net_bps,ratio,ann_net_pct,sharpe
USDCHF,h16_usd+_me1,67,1.6803,0.92,0.597,1.7226,-0.0423,0.98,-0.0,-0.01
USDCHF,h16_usd-_me1,67,-1.6803,-0.92,0.3582,1.7226,-3.403,-0.98,-0.35,-0.73
USDCHF,h17_usd+_me1,67,2.0905,1.47,0.5075,1.7226,0.3678,1.21,0.04,0.1
USDCHF,h17_usd-_me1,67,-2.0905,-1.47,0.3433,1.7226,-3.8131,-1.21,-0.39,-1.05
USDCHF,h18_usd+_me1,65,-0.1255,-0.08,0.4154,1.7226,-1.8482,-0.07,-0.18,-0.47
USDCHF,h18_usd-_me1,65,0.1255,0.08,0.3692,1.7226,-1.5971,0.07,-0.16,-0.41
USDCHF,h19_usd+_me1,63,0.3332,0.26,0.4444,1.7226,-1.3894,0.19,-0.13,-0.42
USDCHF,h19_usd-_me1,63,-0.3332,-0.26,0.381,1.7226,-2.0559,-0.19,-0.2,-0.63
USDCHF,h20_usd+_me1,64,2.2219,1.89,0.4688,1.7226,0.4992,1.29,0.05,0.17
USDCHF,h20_usd-_me1,64,-2.2219,-1.89,0.3906,1.7226,-3.9445,-1.29,-0.39,-1.31
USDCHF,h21_usd+_me1,39,0.1382,0.13,0.4359,1.7226,-1.5844,0.08,-0.09,-0.6
USDCHF,h21_usd-_me1,39,-0.1382,-0.13,0.2821,1.7226,-1.8609,-0.08,-0.11,-0.7
USDCHF,h22_usd+_me1,5,,,,,,,,
USDCHF,h22_usd-_me1,5,,,,,,,,
USDCHF,h23_usd+_me1,25,1.1658,0.61,0.52,1.7226,-0.5568,0.68,-0.02,-0.11
USDCHF,h23_usd-_me1,25,-1.1658,-0.61,0.28,1.7226,-2.8885,-0.68,-0.11,-0.59
NZDUSD,h00_usd+_me3,151,-0.6704,-0.63,0.404,2.9048,-3.5752,-0.23,-0.83,-1.31
NZDUSD,h00_usd-_me3,151,0.6704,0.63,0.3775,2.9048,-2.2344,0.23,-0.52,-0.82
NZDUSD,h01_usd+_me3,209,0.1863,0.16,0.4163,2.9048,-2.7185,0.06,-0.87,-0.94
NZDUSD,h01_usd-_me3,209,-0.1863,-0.16,0.4402,2.9048,-3.0911,-0.06,-0.99,-1.06
NZDUSD,h02_usd+_me3,210,-0.4439,-0.44,0.3571,2.9048,-3.3487,-0.15,-1.08,-1.29
NZDUSD,h02_usd-_me3,210,0.4439,0.44,0.4238,2.9048,-2.4608,0.15,-0.79,-0.95
NZDUSD,h03_usd+_me3,205,0.6286,0.81,0.4439,2.9048,-2.2762,0.22,-0.71,-1.15
NZDUSD,h03_usd-_me3,205,-0.6286,-0.81,0.322,2.9048,-3.5334,-0.22,-1.11,-1.78
NZDUSD,h04_usd+_me3,196,-0.5468,-0.71,0.2908,2.9048,-3.4516,-0.19,-1.03,-1.76
NZDUSD,h04_usd-_me3,196,0.5468,0.71,0.4643,2.9048,-2.358,0.19,-0.71,-1.21
NZDUSD,h05_usd+_me3,191,0.4525,0.64,0.377,2.9048,-2.4523,0.16,-0.72,-1.36
NZDUSD,h05_usd-_me3,191,-0.4525,-0.64,0.3717,2.9048,-3.3573,-0.16,-0.98,-1.87
NZDUSD,h06_usd+_me3,198,-0.8145,-1.08,0.3333,2.9048,-3.7193,-0.28,-1.13,-1.92
NZDUSD,h06_usd-_me3,198,0.8145,1.08,0.4141,2.9048,-2.0903,0.28,-0.63,-1.08
NZDUSD,h07_usd+_me3,212,0.3624,0.36,0.3962,2.9048,-2.5423,0.12,-0.82,-0.99
NZDUSD,h07_usd-_me3,212,-0.3624,-0.36,0.4387,2.9048,-3.2672,-0.12,-1.06,-1.27
NZDUSD,h08_usd+_me3,212,1.3297,1.25,0.4623,2.9048,-1.5751,0.46,-0.51,-0.58
NZDUSD,h08_usd-_me3,212,-1.3297,-1.25,0.4009,2.9048,-4.2345,-0.46,-1.37,-1.56
