tf,họ,công cụ,N,k,ts,ALL,FORM,OOS,n,thắng%,net,t,năm+
H1,accel,CADJPY,12,2.0,24,-0.415,-0.661,0.056,628,49.7,-3.69,-1.29,1/7
H1,accel,CADJPY,12,2.0,96,-0.402,-0.267,-0.648,498,55.0,-6.1,-1.26,2/7
H1,accel,CADJPY,12,2.5,24,-0.222,-0.654,0.702,262,46.9,-3.07,-0.68,2/7
H1,accel,CADJPY,12,2.5,96,0.214,-0.02,0.726,221,53.8,5.8,0.65,4/7
H1,accel,CADJPY,24,1.5,24,-0.209,-0.522,0.327,639,50.5,-1.89,-0.64,3/7
H1,accel,CADJPY,24,1.5,96,-0.264,-0.415,0.016,536,55.4,-3.74,-0.81,1/7
H1,accel,CADJPY,24,2.0,24,0.085,-0.059,0.339,366,50.5,1.06,0.26,3/7
H1,accel,CADJPY,24,2.0,96,0.302,0.385,0.147,328,55.5,6.24,0.92,4/7
H1,accel,CADJPY,24,2.5,24,0.278,0.21,0.417,184,52.2,4.84,0.85,5/7
H1,accel,CADJPY,24,2.5,96,0.058,0.179,-0.179,177,54.2,1.93,0.18,4/7
H1,accel,CADJPY,48,1.5,24,0.22,-0.019,0.689,501,49.9,2.23,0.67,3/7
H1,accel,CADJPY,48,1.5,96,0.383,0.23,0.684,324,55.2,8.14,1.17,5/7
H1,accel,CADJPY,48,2.0,24,0.367,0.407,0.297,257,47.9,5.56,1.12,6/7
H1,accel,CADJPY,48,2.0,96,0.408,0.645,0.039,204,54.9,10.63,1.25,5/7
H1,accel,CADJPY,48,2.5,24,0.26,0.028,0.633,121,47.9,5.57,0.79,5/7
H1,accel,CADJPY,48,2.5,96,0.085,-0.135,0.348,101,51.5,3.26,0.26,2/7
H1,accel,CADJPY,96,1.5,24,0.3,0.33,0.249,377,50.7,3.56,0.92,4/7
H1,accel,CADJPY,96,1.5,96,-0.036,0.135,-0.416,175,51.4,-1.13,-0.11,4/7
H1,accel,CADJPY,96,2.0,24,-0.065,0.154,-0.56,180,50.0,-1.08,-0.2,4/7
H1,accel,CADJPY,96,2.0,96,0.04,0.116,-0.107,114,52.6,1.63,0.12,4/7
H1,accel,CADJPY,96,2.5,24,0.145,0.093,0.291,71,54.9,4.12,0.42,3/7
H1,accel,CADJPY,96,2.5,96,0.253,0.1,0.537,52,55.8,15.89,0.74,4/7
H1,accel,EURUSD,12,1.5,24,0.224,0.461,-0.197,1434,53.1,0.81,0.69,3/7
H1,accel,EURUSD,12,1.5,96,0.39,0.608,-0.004,1161,54.4,1.97,1.18,4/7
H1,accel,EURUSD,12,2.0,24,-0.082,0.237,-0.662,777,52.6,-0.41,-0.26,4/7
H1,accel,EURUSD,12,2.0,96,0.521,0.713,0.164,635,56.9,4.3,1.58,5/7
H1,accel,EURUSD,12,2.5,24,-0.272,-0.118,-0.589,303,51.2,-2.36,-0.83,5/7
H1,accel,EURUSD,12,2.5,96,-0.128,0.132,-0.625,262,51.1,-2.11,-0.39,2/7
H1,accel,EURUSD,24,1.5,24,-0.524,-0.599,-0.395,845,48.9,-2.73,-1.62,1/7
H1,accel,EURUSD,24,1.5,96,-0.563,-0.78,-0.147,713,54.8,-4.7,-1.74,2/7
H1,accel,EURUSD,24,2.0,24,-0.307,-0.262,-0.388,480,46.5,-2.11,-0.94,3/7
H1,accel,EURUSD,24,2.0,96,-0.495,-0.509,-0.476,420,51.4,-6.36,-1.53,4/7
H1,accel,EURUSD,24,2.5,24,-0.18,-0.187,-0.168,235,48.9,-1.78,-0.55,2/7
H1,accel,EURUSD,24,2.5,96,-0.27,-0.431,0.024,225,48.9,-5.04,-0.83,3/7
H1,accel,EURUSD,48,1.5,24,-0.03,0.106,-0.263,639,48.5,-0.17,-0.09,3/7
H1,accel,EURUSD,48,1.5,96,-0.022,-0.246,0.401,426,55.2,-0.27,-0.07,4/7
H1,accel,EURUSD,48,2.0,24,0.26,0.294,0.203,320,48.1,2.34,0.8,4/7
H1,accel,EURUSD,48,2.0,96,0.135,0.02,0.346,250,55.6,2.51,0.41,4/7
H1,accel,EURUSD,48,2.5,24,0.11,0.131,0.076,139,46.8,1.46,0.33,4/7
H1,accel,EURUSD,48,2.5,96,-0.171,-0.378,0.211,124,50.0,-5.04,-0.52,3/7
H1,accel,EURUSD,96,1.5,24,-0.395,-0.569,-0.089,510,47.3,-2.84,-1.21,3/7
H1,accel,EURUSD,96,1.5,96,0.017,0.072,-0.088,238,53.4,0.32,0.05,3/7
H1,accel,EURUSD,96,2.0,24,-0.31,-0.522,0.069,246,47.2,-3.44,-0.95,3/7
H1,accel,EURUSD,96,2.0,96,0.06,-0.212,0.575,143,51.7,1.58,0.18,4/7
H1,accel,EURUSD,96,2.5,24,-0.582,-0.506,-0.717,94,40.4,-10.11,-1.79,1/7
H1,accel,EURUSD,96,2.5,96,-0.184,-0.064,-0.373,71,40.8,-6.64,-0.56,2/7
H1,accel,GBPUSD,12,1.5,24,-0.065,-0.102,0.015,1470,54.3,-0.27,-0.18,2/7
H1,accel,GBPUSD,12,1.5,96,-0.191,-0.231,-0.108,1192,54.1,-1.13,-0.59,2/7
H1,accel,GBPUSD,12,2.0,24,-0.068,-0.173,0.184,781,52.4,-0.44,-0.2,4/7
H1,accel,GBPUSD,12,2.0,96,-0.115,-0.294,0.317,605,53.6,-1.28,-0.35,4/7
H1,accel,GBPUSD,12,2.5,24,0.269,-0.077,0.931,312,53.2,2.59,0.83,4/7
H1,accel,GBPUSD,12,2.5,96,0.093,-0.233,0.8,263,55.9,1.77,0.28,4/7
H1,accel,GBPUSD,24,1.5,24,-0.813,-1.115,-0.19,840,47.3,-5.11,-2.54,1/7
H1,accel,GBPUSD,24,1.5,96,-0.576,-0.874,0.087,704,53.1,-5.49,-1.77,1/7
H1,accel,GBPUSD,24,2.0,24,-0.368,-0.517,-0.051,487,48.9,-2.93,-1.13,2/7
H1,accel,GBPUSD,24,2.0,96,-0.409,-0.536,-0.136,435,54.3,-5.74,-1.26,3/7
H1,accel,GBPUSD,24,2.5,24,-0.294,-0.569,0.398,240,44.6,-3.26,-0.9,2/7
H1,accel,GBPUSD,24,2.5,96,-0.596,-0.663,-0.49,232,49.1,-12.26,-1.83,3/7
H1,accel,GBPUSD,48,1.5,24,0.093,0.124,0.026,640,51.2,0.73,0.28,3/7
H1,accel,GBPUSD,48,1.5,96,0.026,0.046,-0.018,412,55.8,0.42,0.08,3/7
H1,accel,GBPUSD,48,2.0,24,0.396,0.443,0.311,315,51.4,4.42,1.22,5/7
H1,accel,GBPUSD,48,2.0,96,-0.224,-0.094,-0.517,256,51.6,-4.82,-0.68,3/7
H1,accel,GBPUSD,48,2.5,24,0.353,0.639,-0.333,123,52.0,5.44,1.07,3/7
H1,accel,GBPUSD,48,2.5,96,-0.262,-0.52,0.471,110,55.5,-10.59,-0.79,4/7
H1,accel,GBPUSD,96,1.5,24,-0.714,-0.606,-1.027,488,45.5,-6.3,-2.19,2/7
H1,accel,GBPUSD,96,1.5,96,-0.25,-0.183,-0.415,236,51.7,-6.1,-0.76,4/7
H1,accel,GBPUSD,96,2.0,24,-0.8,-0.725,-1.088,244,43.0,-10.95,-2.46,2/7
H1,accel,GBPUSD,96,2.0,96,-0.268,-0.046,-0.925,144,45.8,-9.93,-0.82,4/7
H1,accel,GBPUSD,96,2.5,24,-0.464,-0.57,-0.223,107,42.1,-9.41,-1.42,3/7
H1,accel,GBPUSD,96,2.5,96,-0.204,-0.141,-0.5,74,50.0,-13.12,-0.62,2/7
H1,accel,USDCHF,12,1.5,24,-0.38,-0.203,-0.662,1292,52.9,-1.65,-1.2,2/7
H1,accel,USDCHF,12,1.5,96,-0.375,-0.137,-0.755,1040,54.5,-2.32,-1.16,2/7
H1,accel,USDCHF,12,2.0,24,-0.198,-0.38,0.061,712,52.1,-1.19,-0.61,3/7
H1,accel,USDCHF,12,2.0,96,0.132,0.299,-0.11,571,55.7,1.45,0.41,5/7
H1,accel,USDCHF,12,2.5,24,-0.158,-0.437,0.193,298,54.4,-1.58,-0.48,3/7
H1,accel,USDCHF,12,2.5,96,0.204,0.61,-0.439,262,53.1,3.79,0.62,4/7
H1,accel,USDCHF,24,1.5,24,-0.358,-0.646,0.06,787,49.9,-2.16,-1.13,2/7
H1,accel,USDCHF,24,1.5,96,-0.538,-1.063,0.311,640,53.6,-5.23,-1.67,4/7
H1,accel,USDCHF,24,2.0,24,-0.439,-0.765,-0.014,450,48.4,-3.71,-1.35,3/7
H1,accel,USDCHF,24,2.0,96,-0.47,-0.671,-0.156,395,50.9,-6.51,-1.45,3/7
H1,accel,USDCHF,24,2.5,24,-0.619,-0.666,-0.555,212,46.2,-6.97,-1.91,3/7
H1,accel,USDCHF,24,2.5,96,-0.699,-0.677,-0.733,198,42.4,-15.47,-2.16,1/7
H1,accel,USDCHF,48,1.5,24,-0.48,-0.74,-0.038,571,48.5,-3.33,-1.47,3/7
H1,accel,USDCHF,48,1.5,96,-0.55,-0.872,0.004,360,50.8,-8.56,-1.7,3/7
H1,accel,USDCHF,48,2.0,24,-0.421,-0.78,0.206,300,47.0,-4.5,-1.29,3/7
H1,accel,USDCHF,48,2.0,96,-0.142,-0.546,0.526,228,50.9,-3.09,-0.43,5/7
H1,accel,USDCHF,48,2.5,24,-0.193,-0.135,-0.286,129,45.7,-3.12,-0.59,2/7
H1,accel,USDCHF,48,2.5,96,-0.324,-0.101,-0.73,115,50.4,-11.1,-0.99,2/7
H1,accel,USDCHF,96,1.5,24,-0.435,-0.488,-0.353,457,46.6,-3.93,-1.33,2/7
H1,accel,USDCHF,96,1.5,96,0.114,-0.113,0.458,215,53.5,2.62,0.35,5/7
H1,accel,USDCHF,96,2.0,24,-0.661,-0.638,-0.701,229,47.2,-8.42,-2.03,1/7
H1,accel,USDCHF,96,2.0,96,-0.21,-0.275,-0.092,136,48.5,-6.26,-0.64,2/7
H1,accel,USDCHF,96,2.5,24,-0.355,-0.584,0.258,96,53.1,-7.16,-1.08,3/7
H1,accel,USDCHF,96,2.5,96,-0.218,-0.346,0.017,70,55.7,-9.74,-0.66,2/7
H1,hl_range,EURGBP,10,1.5,24,-0.557,-0.277,-1.445,2491,40.5,-1.15,-1.68,1/7
H1,hl_range,EURGBP,10,1.5,96,-0.694,-0.445,-1.552,2343,40.1,-1.51,-2.07,1/7
H1,hl_range,EURGBP,10,2.0,24,-0.115,0.089,-0.719,995,44.2,-0.48,-0.35,3/7
H1,hl_range,EURGBP,10,2.0,96,-0.208,-0.015,-0.806,746,39.7,-1.3,-0.65,2/7
H1,hl_range,EURGBP,10,2.5,24,-0.182,-0.177,-0.207,433,49.7,-1.18,-0.55,1/7
H1,hl_range,EURGBP,10,2.5,96,-0.02,0.235,-0.649,325,46.2,-0.26,-0.06,2/7
H1,hl_range,EURGBP,20,1.5,24,-0.657,-0.546,-1.023,2248,41.5,-1.46,-1.96,1/7
H1,hl_range,EURGBP,20,1.5,96,-0.633,-0.469,-1.158,2028,40.9,-1.56,-1.86,1/7
H1,hl_range,EURGBP,20,2.0,24,-0.294,-0.026,-1.029,951,44.6,-1.19,-0.91,2/7
H1,hl_range,EURGBP,20,2.0,96,-0.372,-0.086,-1.234,711,39.5,-2.63,-1.14,2/7
H1,hl_range,EURGBP,20,2.5,24,-0.358,-0.034,-1.262,447,44.7,-2.55,-1.11,2/7
H1,hl_range,EURGBP,20,2.5,96,-0.497,-0.415,-0.716,335,39.4,-6.36,-1.53,2/7
H1,hl_range,EURGBP,40,1.5,24,-0.855,-0.605,-1.615,2251,40.9,-1.82,-2.45,1/7
H1,hl_range,EURGBP,40,1.5,96,-0.735,-0.584,-1.261,2026,40.5,-1.81,-2.11,1/7
H1,hl_range,EURGBP,40,2.0,24,-0.369,-0.278,-0.694,1001,43.2,-1.53,-1.15,1/7
H1,hl_range,EURGBP,40,2.0,96,-0.431,-0.364,-0.699,784,38.6,-2.75,-1.32,1/7
H1,hl_range,EURGBP,40,2.5,24,-0.581,-0.459,-0.956,500,44.8,-3.57,-1.84,2/7
H1,hl_range,EURGBP,40,2.5,96,-0.407,-0.297,-0.719,392,36.7,-4.58,-1.26,2/7
H1,hl_range,EURGBP,80,1.5,24,-0.63,-0.279,-1.644,2257,41.7,-1.26,-1.77,2/7
H1,hl_range,EURGBP,80,1.5,96,-0.543,-0.232,-1.483,2046,41.1,-1.24,-1.51,1/7
H1,hl_range,EURGBP,80,2.0,24,-0.577,-0.529,-0.77,1035,43.0,-2.15,-1.66,1/7
H1,hl_range,EURGBP,80,2.0,96,-0.614,-0.516,-0.968,830,38.3,-3.41,-1.76,1/7
H1,hl_range,EURGBP,80,2.5,24,-0.408,-0.263,-0.87,539,46.0,-2.55,-1.34,1/7
H1,hl_range,EURGBP,80,2.5,96,-0.392,-0.334,-0.633,429,37.8,-4.36,-1.26,1/7
H1,hl_range,EURAUD,10,1.5,24,-0.018,0.364,-0.892,1998,43.1,-0.06,-0.06,3/7
H1,hl_range,EURAUD,10,1.5,96,-0.081,0.194,-0.693,1776,42.0,-0.31,-0.24,3/7
H1,hl_range,EURAUD,10,2.0,24,0.029,0.356,-0.608,777,48.1,0.19,0.09,4/7
H1,hl_range,EURAUD,10,2.0,96,-0.112,0.202,-0.68,548,45.6,-1.33,-0.34,3/7
H1,hl_range,EURAUD,10,2.5,24,-0.311,0.106,-1.217,337,46.3,-3.13,-0.95,2/7
H1,hl_range,EURAUD,10,2.5,96,-0.774,-0.494,-1.232,264,43.6,-13.86,-2.41,2/7
H1,hl_range,EURAUD,20,1.5,24,-0.229,-0.123,-0.476,2004,42.5,-0.76,-0.69,1/7
H1,hl_range,EURAUD,20,1.5,96,-0.33,-0.167,-0.707,1765,41.0,-1.29,-0.97,1/7
H1,hl_range,EURAUD,20,2.0,24,-0.012,0.643,-1.472,915,45.2,-0.07,-0.04,3/7
H1,hl_range,EURAUD,20,2.0,96,-0.256,0.144,-0.953,651,43.9,-2.64,-0.78,2/7
H1,hl_range,EURAUD,20,2.5,24,-0.426,-0.234,-0.857,410,42.4,-4.16,-1.3,1/7
H1,hl_range,EURAUD,20,2.5,96,-0.472,-0.611,-0.228,318,42.8,-8.63,-1.46,2/7
H1,hl_range,EURAUD,40,1.5,24,-0.249,0.166,-1.129,2076,43.4,-0.76,-0.74,3/7
H1,hl_range,EURAUD,40,1.5,96,-0.34,0.068,-1.211,1841,41.7,-1.21,-0.99,3/7
H1,hl_range,EURAUD,40,2.0,24,-0.105,0.498,-1.333,929,45.3,-0.65,-0.33,3/7
H1,hl_range,EURAUD,40,2.0,96,-0.121,0.54,-1.467,704,41.3,-1.15,-0.36,3/7
H1,hl_range,EURAUD,40,2.5,24,-0.507,-0.482,-0.587,435,44.1,-4.74,-1.55,1/7
H1,hl_range,EURAUD,40,2.5,96,-0.45,-0.597,-0.19,340,43.8,-7.82,-1.38,2/7
H1,hl_range,EURAUD,80,1.5,24,-0.216,0.093,-0.828,2101,43.6,-0.62,-0.62,3/7
H1,hl_range,EURAUD,80,1.5,96,-0.321,-0.048,-0.886,1867,41.8,-1.1,-0.92,3/7
H1,hl_range,EURAUD,80,2.0,24,-0.181,0.498,-1.532,944,44.2,-1.03,-0.56,3/7
H1,hl_range,EURAUD,80,2.0,96,-0.159,0.501,-1.52,722,41.1,-1.52,-0.5,3/7
H1,hl_range,EURAUD,80,2.5,24,-0.668,-0.457,-1.256,456,43.0,-6.13,-2.01,1/7
H1,hl_range,EURAUD,80,2.5,96,-0.537,-0.455,-0.724,363,41.6,-8.59,-1.62,1/7
H1,hl_range,EURNZD,10,1.5,24,-0.421,-0.049,-1.263,2018,41.6,-1.29,-1.27,1/7
H1,hl_range,EURNZD,10,1.5,96,-0.395,-0.049,-1.105,1790,41.7,-1.34,-1.16,1/7
H1,hl_range,EURNZD,10,2.0,24,-0.609,-0.443,-0.974,763,44.0,-3.81,-1.89,2/7
H1,hl_range,EURNZD,10,2.0,96,-0.316,-0.13,-0.65,562,40.7,-3.4,-0.98,1/7
H1,hl_range,EURNZD,10,2.5,24,-0.163,0.128,-0.798,329,48.3,-1.61,-0.5,3/7
H1,hl_range,EURNZD,10,2.5,96,-0.505,-0.412,-0.654,257,44.4,-9.78,-1.56,2/7
H1,hl_range,EURNZD,20,1.5,24,-0.085,0.144,-0.606,1977,43.0,-0.27,-0.25,3/7
H1,hl_range,EURNZD,20,1.5,96,-0.082,0.104,-0.483,1729,41.5,-0.3,-0.24,3/7
H1,hl_range,EURNZD,20,2.0,24,-0.596,0.054,-2.029,867,41.8,-3.42,-1.84,2/7
H1,hl_range,EURNZD,20,2.0,96,-0.717,-0.392,-1.317,642,38.6,-7.31,-2.24,1/7
H1,hl_range,EURNZD,20,2.5,24,-0.413,-0.048,-1.188,400,44.2,-3.73,-1.28,2/7
H1,hl_range,EURNZD,20,2.5,96,-0.632,-0.624,-0.647,314,40.8,-10.96,-1.98,1/7
H1,hl_range,EURNZD,40,1.5,24,-0.213,0.173,-1.169,2002,42.8,-0.68,-0.65,4/7
H1,hl_range,EURNZD,40,1.5,96,-0.18,0.115,-0.868,1757,41.3,-0.67,-0.54,4/7
H1,hl_range,EURNZD,40,2.0,24,-0.403,0.028,-1.316,894,44.5,-2.24,-1.18,1/7
H1,hl_range,EURNZD,40,2.0,96,-0.34,-0.165,-0.714,682,42.5,-2.97,-1.0,3/7
H1,hl_range,EURNZD,40,2.5,24,-0.418,0.125,-1.621,443,45.6,-3.61,-1.29,2/7
H1,hl_range,EURNZD,40,2.5,96,-0.51,-0.172,-1.083,359,39.6,-8.15,-1.59,1/7
H1,hl_range,EURNZD,80,1.5,24,-0.146,0.307,-1.212,2053,43.9,-0.44,-0.43,5/7
H1,hl_range,EURNZD,80,1.5,96,-0.219,0.182,-1.205,1814,42.1,-0.79,-0.65,3/7
H1,hl_range,EURNZD,80,2.0,24,-0.652,-0.111,-1.91,928,42.9,-3.44,-1.88,2/7
H1,hl_range,EURNZD,80,2.0,96,-0.64,-0.402,-1.124,722,39.2,-5.24,-1.86,2/7
H1,hl_range,EURNZD,80,2.5,24,-0.535,-0.162,-1.303,460,44.3,-4.64,-1.68,1/7
H1,hl_range,EURNZD,80,2.5,96,-0.597,-0.445,-0.942,382,39.5,-10.74,-2.01,1/7
H1,hl_range,GBPAUD,10,1.5,24,-0.072,0.121,-0.496,1967,42.7,-0.22,-0.22,4/7
H1,hl_range,GBPAUD,10,1.5,96,-0.168,-0.057,-0.411,1759,41.9,-0.57,-0.5,4/7
H1,hl_range,GBPAUD,10,2.0,24,-0.381,-0.447,-0.25,742,46.5,-2.52,-1.21,2/7
H1,hl_range,GBPAUD,10,2.0,96,-0.23,-0.136,-0.434,542,44.8,-2.52,-0.72,3/7
H1,hl_range,GBPAUD,10,2.5,24,-0.899,-0.863,-1.062,312,43.3,-9.32,-2.79,1/7
H1,hl_range,GBPAUD,10,2.5,96,-0.676,-0.806,-0.474,241,39.4,-11.68,-2.12,2/7
H1,hl_range,GBPAUD,20,1.5,24,-0.031,0.093,-0.317,1979,43.8,-0.1,-0.1,4/7
H1,hl_range,GBPAUD,20,1.5,96,-0.183,-0.05,-0.495,1739,42.3,-0.66,-0.55,4/7
H1,hl_range,GBPAUD,20,2.0,24,-0.412,-0.429,-0.391,834,45.2,-2.48,-1.28,1/7
H1,hl_range,GBPAUD,20,2.0,96,-0.297,-0.347,-0.199,597,43.4,-2.95,-0.91,3/7
H1,hl_range,GBPAUD,20,2.5,24,-0.976,-0.996,-1.013,387,42.6,-10.35,-3.15,0/7
H1,hl_range,GBPAUD,20,2.5,96,-0.946,-1.164,-0.55,299,41.1,-17.15,-3.01,1/7
H1,hl_range,GBPAUD,40,1.5,24,-0.025,0.036,-0.159,1993,45.1,-0.08,-0.08,5/7
H1,hl_range,GBPAUD,40,1.5,96,-0.065,-0.012,-0.176,1751,43.1,-0.23,-0.2,5/7
H1,hl_range,GBPAUD,40,2.0,24,-0.185,-0.135,-0.31,840,47.1,-1.13,-0.59,4/7
H1,hl_range,GBPAUD,40,2.0,96,-0.153,-0.022,-0.442,627,44.8,-1.48,-0.48,2/7
H1,hl_range,GBPAUD,40,2.5,24,-0.609,-0.568,-0.721,422,43.6,-5.21,-1.88,1/7
H1,hl_range,GBPAUD,40,2.5,96,-0.799,-0.886,-0.643,335,42.4,-12.76,-2.48,2/7
H1,hl_range,GBPAUD,80,1.5,24,-0.103,-0.243,0.192,2020,45.4,-0.31,-0.32,4/7
H1,hl_range,GBPAUD,80,1.5,96,-0.157,-0.34,0.212,1783,43.8,-0.54,-0.47,4/7
H1,hl_range,GBPAUD,80,2.0,24,-0.292,-0.193,-0.542,887,45.0,-1.66,-0.92,1/7
H1,hl_range,GBPAUD,80,2.0,96,-0.042,0.016,-0.168,666,44.4,-0.39,-0.13,3/7
H1,hl_range,GBPAUD,80,2.5,24,-0.699,-0.675,-0.8,443,42.9,-6.28,-2.25,1/7
H1,hl_range,GBPAUD,80,2.5,96,-0.804,-0.782,-0.892,354,43.5,-12.3,-2.56,1/7
H1,hl_range,GBPNZD,10,1.5,24,-0.705,-0.738,-0.671,2031,41.7,-2.2,-2.21,2/7
H1,hl_range,GBPNZD,10,1.5,96,-0.657,-0.831,-0.289,1817,40.8,-2.25,-2.03,2/7
H1,hl_range,GBPNZD,10,2.0,24,-0.952,-0.933,-1.046,726,41.9,-6.06,-2.96,2/7
H1,hl_range,GBPNZD,10,2.0,96,-0.832,-0.843,-0.848,519,39.9,-9.28,-2.58,0/7
H1,hl_range,GBPNZD,10,2.5,24,-0.879,-1.063,-0.491,318,42.1,-9.33,-2.73,2/7
H1,hl_range,GBPNZD,10,2.5,96,-0.804,-1.074,-0.267,250,40.4,-14.86,-2.5,1/7
H1,hl_range,GBPNZD,20,1.5,24,-0.479,-0.626,-0.147,2021,42.3,-1.46,-1.51,2/7
H1,hl_range,GBPNZD,20,1.5,96,-0.345,-0.571,0.147,1775,40.8,-1.22,-1.05,4/7
H1,hl_range,GBPNZD,20,2.0,24,-0.994,-0.806,-1.595,843,41.6,-5.71,-3.13,0/7
H1,hl_range,GBPNZD,20,2.0,96,-0.731,-0.884,-0.416,620,40.3,-7.04,-2.3,0/7
H1,hl_range,GBPNZD,20,2.5,24,-0.508,-0.508,-0.578,379,44.6,-5.28,-1.58,2/7
H1,hl_range,GBPNZD,20,2.5,96,-0.809,-0.867,-0.72,292,39.7,-14.36,-2.53,1/7
H1,hl_range,GBPNZD,40,1.5,24,-0.585,-0.735,-0.265,2023,41.5,-1.77,-1.82,2/7
H1,hl_range,GBPNZD,40,1.5,96,-0.582,-0.858,0.011,1801,40.1,-2.07,-1.79,2/7
H1,hl_range,GBPNZD,40,2.0,24,-0.648,-0.49,-1.11,868,42.1,-3.76,-2.05,2/7
H1,hl_range,GBPNZD,40,2.0,96,-0.889,-0.994,-0.695,661,37.2,-8.21,-2.81,1/7
H1,hl_range,GBPNZD,40,2.5,24,-0.462,-0.305,-0.935,414,44.9,-4.27,-1.45,1/7
H1,hl_range,GBPNZD,40,2.5,96,-0.905,-1.028,-0.672,335,37.9,-14.36,-2.84,2/7
H1,hl_range,GBPNZD,80,1.5,24,-0.541,-0.77,-0.027,2010,41.8,-1.6,-1.61,2/7
H1,hl_range,GBPNZD,80,1.5,96,-0.651,-0.925,-0.081,1796,39.9,-2.21,-1.91,2/7
H1,hl_range,GBPNZD,80,2.0,24,-0.505,-0.36,-0.893,879,42.7,-2.9,-1.6,2/7
H1,hl_range,GBPNZD,80,2.0,96,-0.46,-0.624,-0.104,683,40.8,-4.18,-1.47,2/7
H1,hl_range,GBPNZD,80,2.5,24,-0.528,-0.478,-0.731,434,44.0,-5.07,-1.75,2/7
H1,hl_range,GBPNZD,80,2.5,96,-0.658,-0.683,-0.645,352,40.1,-10.58,-2.15,1/7
H1,hl_range,AUDNZD,10,1.5,24,-0.846,-0.514,-1.527,1834,42.6,-1.75,-2.63,2/7
H1,hl_range,AUDNZD,10,1.5,96,-0.651,-0.323,-1.338,1579,42.5,-1.63,-2.02,3/7
H1,hl_range,AUDNZD,10,2.0,24,-0.359,-0.926,0.78,644,45.8,-1.51,-1.1,2/7
H1,hl_range,AUDNZD,10,2.0,96,-0.455,-1.012,0.723,473,46.7,-3.42,-1.4,3/7
H1,hl_range,AUDNZD,10,2.5,24,-0.511,-0.892,0.229,284,46.5,-3.4,-1.56,3/7
H1,hl_range,AUDNZD,10,2.5,96,-0.631,-0.863,-0.25,222,42.3,-7.84,-1.94,2/7
H1,hl_range,AUDNZD,20,1.5,24,-0.772,-0.518,-1.264,1838,42.2,-1.54,-2.38,1/7
H1,hl_range,AUDNZD,20,1.5,96,-0.692,-0.49,-1.103,1568,42.5,-1.68,-2.09,1/7
H1,hl_range,AUDNZD,20,2.0,24,-0.542,-0.814,-0.031,769,44.2,-2.0,-1.69,2/7
H1,hl_range,AUDNZD,20,2.0,96,-0.862,-1.073,-0.462,553,44.1,-5.87,-2.69,2/7
H1,hl_range,AUDNZD,20,2.5,24,-0.471,-1.039,0.566,348,46.0,-2.74,-1.44,4/7
H1,hl_range,AUDNZD,20,2.5,96,-0.46,-0.878,0.304,270,44.4,-5.02,-1.41,4/7
H1,hl_range,AUDNZD,40,1.5,24,-0.638,-0.523,-0.878,1900,42.3,-1.22,-1.96,2/7
H1,hl_range,AUDNZD,40,1.5,96,-0.747,-0.628,-1.024,1646,41.8,-1.74,-2.23,1/7
H1,hl_range,AUDNZD,40,2.0,24,-0.691,-1.027,-0.042,784,43.6,-2.47,-2.15,2/7
H1,hl_range,AUDNZD,40,2.0,96,-0.907,-1.173,-0.392,593,43.7,-5.5,-2.79,2/7
H1,hl_range,AUDNZD,40,2.5,24,-0.233,-0.55,0.362,389,47.3,-1.26,-0.72,4/7
H1,hl_range,AUDNZD,40,2.5,96,-0.408,-0.714,0.174,310,43.9,-4.01,-1.25,4/7
H1,hl_range,AUDNZD,80,1.5,24,-0.724,-0.629,-0.925,1925,42.0,-1.38,-2.23,1/7
H1,hl_range,AUDNZD,80,1.5,96,-0.707,-0.541,-1.065,1677,41.6,-1.67,-2.16,2/7
H1,hl_range,AUDNZD,80,2.0,24,-0.652,-0.998,0.022,819,44.3,-2.23,-2.04,2/7
H1,hl_range,AUDNZD,80,2.0,96,-0.713,-1.022,-0.114,636,43.9,-4.06,-2.17,2/7
H1,hl_range,AUDNZD,80,2.5,24,-0.302,-0.685,0.41,411,45.7,-1.59,-0.93,3/7
H1,hl_range,AUDNZD,80,2.5,96,-0.501,-0.856,0.141,330,43.3,-4.58,-1.53,3/7
H1,hl_range,EURCHF,10,1.5,24,-1.153,-1.118,-1.218,2502,40.1,-1.91,-3.45,0/7
H1,hl_range,EURCHF,10,1.5,96,-1.154,-1.153,-1.156,2350,39.1,-2.01,-3.36,0/7
H1,hl_range,EURCHF,10,2.0,24,-0.483,-0.142,-1.071,976,43.9,-1.68,-1.49,2/7
H1,hl_range,EURCHF,10,2.0,96,-0.399,-0.22,-0.704,744,42.3,-2.11,-1.21,3/7
H1,hl_range,EURCHF,10,2.5,24,-0.181,0.185,-0.843,412,45.1,-1.1,-0.55,2/7
H1,hl_range,EURCHF,10,2.5,96,-0.219,-0.143,-0.336,307,42.7,-2.53,-0.67,2/7
H1,hl_range,EURCHF,20,1.5,24,-0.796,-0.563,-1.196,2234,40.6,-1.4,-2.31,1/7
H1,hl_range,EURCHF,20,1.5,96,-0.733,-0.576,-0.994,2014,39.1,-1.41,-2.07,1/7
H1,hl_range,EURCHF,20,2.0,24,-0.549,-0.321,-0.948,957,42.6,-1.96,-1.7,1/7
H1,hl_range,EURCHF,20,2.0,96,-0.576,-0.648,-0.455,717,41.6,-3.15,-1.76,1/7
H1,hl_range,EURCHF,20,2.5,24,-0.373,-0.066,-0.872,447,43.2,-2.18,-1.14,3/7
