tf,họ,công cụ,N,k,ts,ALL,FORM,OOS,n,thắng%,net,t,năm+
H1,gap_fade,GBPAUD,14,0.3,96,-0.33,-0.345,-0.305,519,51.8,-3.23,-1.01,2/7
H1,gap_fade,GBPAUD,14,0.5,24,-0.432,-1.024,0.507,280,49.3,-4.07,-1.34,4/7
H1,gap_fade,GBPAUD,14,0.5,96,-0.384,-0.658,0.052,221,49.8,-7.08,-1.18,2/7
H1,gap_fade,GBPAUD,14,0.8,24,-0.386,-0.731,0.033,84,42.9,-7.16,-1.18,2/7
H1,gap_fade,GBPAUD,14,0.8,96,-0.127,-0.266,-0.004,77,54.5,-4.04,-0.39,2/7
H1,gap_fade,GBPAUD,24,0.3,24,-0.356,-0.621,0.142,651,52.1,-2.14,-1.1,3/7
H1,gap_fade,GBPAUD,24,0.3,96,-0.16,-0.186,-0.113,510,51.8,-1.6,-0.49,3/7
H1,gap_fade,GBPAUD,24,0.5,24,-0.525,-1.082,0.333,277,48.7,-4.95,-1.63,4/7
H1,gap_fade,GBPAUD,24,0.5,96,-0.582,-0.846,-0.189,220,49.5,-10.44,-1.8,0/7
H1,gap_fade,GBPAUD,24,0.8,24,-0.368,-0.807,0.32,83,43.4,-7.04,-1.13,2/7
H1,gap_fade,GBPAUD,24,0.8,96,-0.11,-0.244,0.021,74,54.1,-3.8,-0.33,1/7
H1,gap_fade,GBPAUD,48,0.3,24,-0.382,-0.833,0.413,641,51.5,-2.39,-1.18,2/7
H1,gap_fade,GBPAUD,48,0.3,96,-0.208,-0.314,-0.01,496,51.6,-2.13,-0.64,3/7
H1,gap_fade,GBPAUD,48,0.5,24,-0.418,-0.851,0.235,270,49.3,-3.95,-1.3,3/7
H1,gap_fade,GBPAUD,48,0.5,96,-0.387,-0.515,-0.205,210,50.0,-7.15,-1.2,2/7
H1,gap_fade,GBPAUD,48,0.8,24,-0.426,-0.836,0.206,89,46.1,-8.01,-1.31,1/7
H1,gap_fade,GBPAUD,48,0.8,96,-0.12,-0.206,-0.04,80,56.2,-3.9,-0.37,1/7
H1,gap_fade,GBPNZD,14,0.3,24,-0.466,-0.41,-0.571,753,48.3,-2.56,-1.43,2/7
H1,gap_fade,GBPNZD,14,0.3,96,-0.154,-0.225,-0.02,576,52.1,-1.31,-0.47,3/7
H1,gap_fade,GBPNZD,14,0.5,24,0.006,-0.063,0.12,344,53.2,0.05,0.02,5/7
H1,gap_fade,GBPNZD,14,0.5,96,-0.069,-0.135,0.047,277,55.2,-0.95,-0.21,2/7
H1,gap_fade,GBPNZD,14,0.8,24,0.178,0.455,-0.25,105,59.0,2.96,0.54,3/7
H1,gap_fade,GBPNZD,14,0.8,96,0.022,-0.127,0.311,92,53.3,0.63,0.07,5/7
H1,gap_fade,GBPNZD,24,0.3,24,-0.456,-0.446,-0.476,733,48.6,-2.53,-1.4,2/7
H1,gap_fade,GBPNZD,24,0.3,96,-0.204,-0.242,-0.134,563,52.2,-1.78,-0.63,3/7
H1,gap_fade,GBPNZD,24,0.5,24,0.125,0.324,-0.233,335,53.4,1.09,0.38,4/7
H1,gap_fade,GBPNZD,24,0.5,96,0.01,0.14,-0.217,270,56.7,0.15,0.03,4/7
H1,gap_fade,GBPNZD,24,0.8,24,0.192,0.507,-0.297,109,58.7,3.1,0.59,3/7
H1,gap_fade,GBPNZD,24,0.8,96,0.0,-0.168,0.328,93,53.8,0.0,0.0,5/7
H1,gap_fade,GBPNZD,48,0.3,24,-0.5,-0.509,-0.487,733,48.7,-2.8,-1.54,2/7
H1,gap_fade,GBPNZD,48,0.3,96,-0.258,-0.277,-0.224,566,52.5,-2.24,-0.79,3/7
H1,gap_fade,GBPNZD,48,0.5,24,0.229,0.427,-0.141,329,54.7,1.99,0.7,4/7
H1,gap_fade,GBPNZD,48,0.5,96,0.076,0.259,-0.241,267,57.7,1.1,0.23,4/7
H1,gap_fade,GBPNZD,48,0.8,24,0.099,0.349,-0.275,110,58.2,1.58,0.3,3/7
H1,gap_fade,GBPNZD,48,0.8,96,-0.011,-0.126,0.22,95,56.8,-0.32,-0.03,5/7
H1,gap_fade,AUDNZD,14,0.3,24,-0.574,-0.299,-1.067,526,48.9,-2.7,-1.78,1/7
H1,gap_fade,AUDNZD,14,0.3,96,-0.577,-0.407,-0.895,391,50.4,-4.85,-1.78,1/7
H1,gap_fade,AUDNZD,14,0.5,24,0.434,0.389,0.499,208,51.9,3.52,1.33,4/7
H1,gap_fade,AUDNZD,14,0.5,96,0.029,0.063,-0.026,176,54.5,0.41,0.09,5/7
H1,gap_fade,AUDNZD,14,0.8,24,0.176,0.134,0.229,64,50.0,2.91,0.53,4/7
H1,gap_fade,AUDNZD,14,0.8,96,-0.101,-0.147,0.002,57,45.6,-2.57,-0.3,3/7
H1,gap_fade,AUDNZD,24,0.3,24,-0.402,-0.225,-0.728,520,49.6,-1.9,-1.24,2/7
H1,gap_fade,AUDNZD,24,0.3,96,-0.431,-0.235,-0.777,385,51.2,-3.59,-1.33,2/7
H1,gap_fade,AUDNZD,24,0.5,24,0.367,0.38,0.349,207,51.7,2.93,1.14,4/7
H1,gap_fade,AUDNZD,24,0.5,96,0.047,0.156,-0.122,174,55.2,0.66,0.14,4/7
H1,gap_fade,AUDNZD,24,0.8,24,0.157,0.09,0.238,67,50.7,2.49,0.47,4/7
H1,gap_fade,AUDNZD,24,0.8,96,-0.158,-0.234,0.011,60,46.7,-3.92,-0.48,3/7
H1,gap_fade,AUDNZD,48,0.3,24,-0.341,-0.118,-0.748,503,51.1,-1.63,-1.05,1/7
H1,gap_fade,AUDNZD,48,0.3,96,-0.518,-0.345,-0.83,373,52.0,-4.35,-1.6,1/7
H1,gap_fade,AUDNZD,48,0.5,24,0.487,0.48,0.498,205,52.7,4.1,1.51,5/7
H1,gap_fade,AUDNZD,48,0.5,96,0.16,0.22,0.072,174,56.3,2.25,0.49,4/7
H1,gap_fade,AUDNZD,48,0.8,24,0.323,0.055,0.626,70,54.3,5.07,0.98,4/7
H1,gap_fade,AUDNZD,48,0.8,96,-0.059,-0.236,0.323,62,50.0,-1.43,-0.18,3/7
