cong cu,N,k,thoat,ALL,FORM,OOS,n,thang%,net,t
AUDCAD,48,2.5,time_only,0.215,0.431,-0.234,74,45.9,7.64,0.64
AUDCAD,48,2.5,time_only_2x,0.466,0.449,0.51,62,61.3,25.19,1.41
AUDCAD,96,1.5,time_only,0.219,-0.065,0.78,112,58.9,9.33,0.67
AUDCAD,96,1.5,time_only_2x,0.066,-0.193,0.705,83,61.4,3.69,0.2
AUDCAD,96,2.0,time_only,0.054,-0.117,0.417,86,47.7,2.83,0.16
AUDCAD,96,2.0,time_only_2x,0.314,0.19,0.646,68,54.4,20.07,0.95
AUDCAD,96,2.5,time_only,0.603,0.706,0.417,54,53.7,43.26,1.87
AUDCAD,96,2.5,time_only_2x,0.825,0.832,0.829,46,69.6,89.55,2.66
GBPAUD,12,1.5,time_only,0.185,0.256,0.055,505,49.7,1.67,0.57
GBPAUD,12,1.5,time_only_2x,0.005,0.13,-0.255,402,55.2,0.07,0.02
GBPAUD,12,2.0,time_only,0.465,0.423,0.558,176,54.5,6.42,1.43
GBPAUD,12,2.0,time_only_2x,0.242,0.094,0.528,158,52.5,5.62,0.74
GBPAUD,24,1.5,time_only,0.744,0.911,0.44,367,56.9,11.1,2.3
GBPAUD,24,1.5,time_only_2x,0.638,0.715,0.497,280,61.8,12.69,1.97
GBPAUD,24,2.0,time_only,0.406,0.559,0.15,216,56.0,8.3,1.25
GBPAUD,24,2.0,time_only_2x,0.568,0.614,0.488,177,58.2,15.07,1.76
GBPAUD,24,2.5,time_only,0.375,0.371,0.382,64,54.7,15.12,1.13
GBPAUD,24,2.5,time_only_2x,0.538,0.532,0.548,63,52.4,29.69,1.64
GBPAUD,48,1.5,time_only,0.046,0.235,-0.304,198,49.5,1.18,0.14
GBPAUD,48,1.5,time_only_2x,0.133,0.208,-0.011,157,63.7,4.83,0.41
GBPAUD,48,2.0,time_only,0.105,0.377,-0.395,139,49.6,3.32,0.32
GBPAUD,48,2.0,time_only_2x,-0.033,0.077,-0.253,107,54.2,-1.75,-0.1
GBPAUD,48,2.5,time_only,0.109,0.145,0.049,77,53.2,5.19,0.33
GBPAUD,48,2.5,time_only_2x,0.039,-0.014,0.146,61,52.5,3.22,0.12
GBPAUD,96,1.5,time_only,-0.097,-0.227,0.153,105,51.4,-4.76,-0.29
GBPAUD,96,1.5,time_only_2x,0.119,0.055,0.29,83,60.2,7.74,0.36
GBPAUD,96,2.0,time_only,0.146,0.106,0.23,87,51.7,9.14,0.44
GBPAUD,96,2.0,time_only_2x,0.202,0.119,0.387,68,64.7,16.96,0.61
GBPAUD,96,2.5,time_only,0.28,0.357,0.147,57,63.2,22.59,0.85
GBPAUD,96,2.5,time_only_2x,-0.08,-0.308,0.346,45,55.6,-8.94,-0.24
GBPCAD,12,1.5,time_only,0.469,0.463,0.497,508,50.6,3.76,1.44
GBPCAD,12,1.5,time_only_2x,0.395,0.403,0.392,407,58.2,4.8,1.21
GBPCAD,12,2.0,time_only,0.378,0.361,0.412,171,50.3,4.97,1.16
GBPCAD,12,2.0,time_only_2x,0.436,0.564,0.177,160,56.9,8.33,1.34
GBPCAD,24,1.5,time_only,0.119,0.342,-0.363,355,53.5,1.64,0.36
GBPCAD,24,1.5,time_only_2x,0.149,0.54,-0.618,266,60.5,2.79,0.46
GBPCAD,24,2.0,time_only,0.111,0.188,-0.048,214,51.4,2.0,0.34
GBPCAD,24,2.0,time_only_2x,0.315,0.658,-0.407,168,56.0,8.95,0.96
GBPCAD,24,2.5,time_only,0.303,0.488,-0.055,84,56.0,7.98,0.92
GBPCAD,24,2.5,time_only_2x,0.299,0.695,-0.467,72,56.9,14.41,0.91
GBPCAD,48,1.5,time_only,0.573,0.84,-0.024,208,58.7,13.93,1.76
GBPCAD,48,1.5,time_only_2x,0.54,0.707,0.202,159,64.2,17.25,1.67
GBPCAD,48,2.0,time_only,0.376,0.708,-0.367,141,53.9,11.01,1.15
GBPCAD,48,2.0,time_only_2x,0.507,0.677,0.087,111,62.2,21.93,1.56
GBPCAD,48,2.5,time_only,0.426,0.818,-0.537,83,54.2,21.43,1.31
GBPCAD,48,2.5,time_only_2x,0.674,0.768,0.511,70,68.6,43.49,2.1
GBPCAD,96,1.5,time_only,0.536,0.621,0.37,115,61.7,23.14,1.65
GBPCAD,96,1.5,time_only_2x,0.702,0.678,0.828,92,71.7,33.21,2.18
GBPCAD,96,2.0,time_only,0.643,0.638,0.746,86,65.1,36.8,1.99
GBPCAD,96,2.0,time_only_2x,0.745,0.548,1.385,71,67.6,45.5,2.34
GBPCAD,96,2.5,time_only,0.815,0.854,0.791,54,66.7,60.32,2.62
GBPCAD,96,2.5,time_only_2x,0.772,0.666,1.196,47,74.5,74.35,2.46
EURGBP,12,1.5,time_only,0.316,0.573,-0.327,513,54.2,2.33,0.97
EURGBP,12,1.5,time_only_2x,0.264,0.545,-0.422,413,59.3,2.71,0.81
EURGBP,12,2.0,time_only,0.597,0.929,-0.045,182,55.5,7.33,1.84
EURGBP,12,2.0,time_only_2x,0.398,0.686,-0.168,165,55.2,6.52,1.22
EURGBP,24,1.5,time_only,-0.038,0.083,-0.358,339,51.3,-0.46,-0.12
EURGBP,24,1.5,time_only_2x,0.013,0.04,-0.05,263,58.2,0.21,0.04
EURGBP,24,2.0,time_only,0.05,0.049,0.058,203,49.8,0.97,0.15
EURGBP,24,2.0,time_only_2x,-0.182,-0.233,-0.074,166,50.6,-3.91,-0.56
EURGBP,24,2.5,time_only,-0.287,-0.099,-0.587,81,45.7,-6.99,-0.88
EURGBP,24,2.5,time_only_2x,-0.233,-0.147,-0.403,76,50.0,-7.44,-0.71
