nhóm,họ,cặp,tf,ALL,FORM,OOS,ann%,maxDD%,n_lệnh,gross,phí,swap,net,giữ,%tt
HỒI QUY,rsi_mr,GBPUSD,H1,0.28,0.568,-0.255,1.5,8.03,553,1.7,1.2,0.33,0.18,19.8,0.3
HỒI QUY,bb_mr,GBPUSD,H1,-0.247,-0.152,-0.451,-1.68,15.67,1382,0.51,1.2,0.22,-0.9,13.2,0.49
HỒI QUY,stoch_mr,GBPUSD,H1,-1.078,-1.175,-0.918,-7.77,51.33,2620,-1.05,1.2,0.12,-2.37,7.5,0.53
BIẾN ĐỘNG,squeeze,GBPUSD,H1,0.163,0.472,-0.492,1.02,16.66,575,3.42,1.21,0.41,1.81,24.6,0.38
BIẾN ĐỘNG,range_expand,GBPUSD,H1,-0.728,-0.624,-0.963,-4.57,30.64,1058,-1.33,1.2,0.2,-2.74,12.2,0.35
XU HƯỚNG,ma_cross,EURUSD,H4,-0.033,0.125,-0.289,-0.29,10.62,136,8.94,1.83,4.96,2.14,75.0,1.0
XU HƯỚNG,macd,EURUSD,H4,-0.237,-0.27,-0.187,-1.41,18.52,393,0.97,0.92,0.86,-0.81,13.0,0.5
XU HƯỚNG,donchian,EURUSD,H4,-0.547,-0.581,-0.497,-3.93,27.83,238,-5.16,0.92,1.7,-7.78,25.6,0.6
XU HƯỚNG,keltner,EURUSD,H4,-0.465,-0.438,-0.516,-2.97,22.05,298,-1.65,0.92,1.11,-3.68,16.8,0.49
XU HƯỚNG,adx_trend,EURUSD,H4,-0.216,-0.124,-0.361,-1.3,13.39,213,0.86,1.0,1.49,-1.62,22.5,0.47
HỒI QUY,rsi_mr,EURUSD,H4,0.351,0.224,0.597,1.76,7.42,168,4.67,0.92,1.25,2.51,18.9,0.31
HỒI QUY,bb_mr,EURUSD,H4,0.306,0.23,0.437,1.93,10.62,360,2.96,0.92,0.88,1.16,13.3,0.47
HỒI QUY,stoch_mr,EURUSD,H4,0.098,0.161,-0.003,0.64,9.32,665,0.62,0.92,0.52,-0.82,7.9,0.52
BIẾN ĐỘNG,squeeze,EURUSD,H4,-0.001,-0.313,0.499,-0.0,7.02,182,1.09,0.92,0.34,-0.17,5.1,0.09
BIẾN ĐỘNG,range_expand,EURUSD,H4,-1.145,-1.294,-0.892,-2.94,19.32,385,-4.43,0.92,0.2,-5.55,3.0,0.11
XU HƯỚNG,ma_cross,GBPUSD,H4,-0.25,-0.093,-0.564,-2.57,29.0,143,-3.7,2.44,4.69,-10.83,70.7,1.0
XU HƯỚNG,macd,GBPUSD,H4,-0.024,-0.132,0.201,-0.18,19.79,398,2.91,1.22,0.84,0.85,12.7,0.5
XU HƯỚNG,donchian,GBPUSD,H4,-0.77,-0.617,-1.088,-6.05,38.48,254,-10.34,1.22,1.54,-13.1,23.3,0.58
XU HƯỚNG,keltner,GBPUSD,H4,-0.756,-0.885,-0.52,-5.37,35.28,308,-6.11,1.22,1.01,-8.34,15.3,0.46
