tf,rule,ALL,FORM,OOS,gross,phi,turn/năm
M30,noise_63d,-0.594,-0.429,-0.911,-0.0167,0.00389,0.3
M30,jump_63d,0.452,0.225,0.874,0.0202,0.00358,0.4
M30,updown_63d,-0.559,-0.403,-0.856,-0.01606,0.00338,0.2
M30,semidev_126d_rel,-0.497,-0.414,-0.666,-0.01409,0.00635,1.7
M30,drawdown_126d_rel,-0.171,-0.322,0.076,0.00863,0.01659,8.0
M30,volvol_126d_rel,-0.011,-0.369,0.438,0.00404,0.00435,0.6
M30,noise_126d_rel,-0.834,-0.756,-0.959,-0.01346,0.01042,4.3
M30,jump_126d_rel,0.082,0.53,-0.568,0.00679,0.00463,1.0
M30,updown_126d_rel,-0.331,-0.358,-0.285,-0.00622,0.00781,2.9
M30,semidev_126d,-0.595,-0.47,-0.825,-0.01854,0.00282,0.2
M30,drawdown_126d,0.302,0.016,0.748,0.02087,0.00902,3.5
M30,volvol_126d,-0.53,-0.489,-0.601,-0.01807,0.00228,0.3
M30,noise_126d,-0.646,-0.489,-0.939,-0.01872,0.00333,0.1
M30,jump_126d,0.481,0.338,0.752,0.02088,0.00294,0.2
M30,updown_126d,-0.61,-0.469,-0.872,-0.01771,0.00313,0.1
M30,semidev_252d_rel,-0.624,-0.597,-0.677,-0.01974,0.00461,0.9
M30,drawdown_252d_rel,-0.187,-0.153,-0.24,0.0009,0.00946,4.3
M30,volvol_252d_rel,-0.051,-0.253,0.177,0.0019,0.00308,0.3
M30,noise_252d_rel,-0.555,-0.936,-0.07,-0.01002,0.00495,1.5
M30,jump_252d_rel,-0.256,0.467,-1.028,-0.00311,0.00357,0.5
M30,updown_252d_rel,-0.228,-0.245,-0.198,-0.00535,0.00463,1.4
M30,semidev_252d,-0.549,-0.384,-0.834,-0.01659,0.00236,0.2
M30,drawdown_252d,0.265,-0.015,0.648,0.01572,0.00583,2.1
M30,volvol_252d,-0.48,-0.343,-0.711,-0.01493,0.00251,0.2
M30,noise_252d,-0.556,-0.391,-0.845,-0.01568,0.00282,0.1
M30,jump_252d,0.282,0.062,0.655,0.01248,0.00224,0.2
M30,updown_252d,-0.525,-0.334,-0.86,-0.01473,0.0027,0.1
