symbol,rule,n_trades,gross_bps,t,hit_rate,cost_bps,net_bps,ratio,ann_net_pct,sharpe
GBPUSD,h00_usd+,1074,-0.2392,-0.84,0.3799,1.1976,-1.4369,-0.2,-2.36,-1.97
GBPUSD,h00_usd-,1074,0.2392,0.84,0.4041,1.1976,-0.9584,0.2,-1.57,-1.32
GBPUSD,h01_usd+,1287,0.4053,1.68,0.4336,1.1976,-0.7923,0.34,-1.56,-1.28
GBPUSD,h01_usd-,1287,-0.4053,-1.68,0.4009,1.1976,-1.6029,-0.34,-3.16,-2.59
GBPUSD,h02_usd+,1651,-0.0113,-0.04,0.4107,1.1976,-1.2089,-0.01,-3.05,-1.56
GBPUSD,h02_usd-,1651,0.0113,0.04,0.4373,1.1976,-1.1864,0.01,-3.0,-1.53
GBPUSD,h03_usd+,1660,-0.1937,-0.9,0.4163,1.1976,-1.3913,-0.16,-3.53,-2.53
GBPUSD,h03_usd-,1660,0.1937,0.9,0.4012,1.1976,-1.0039,0.16,-2.55,-1.83
GBPUSD,h04_usd+,1611,0.2277,1.49,0.4252,1.1976,-0.9699,0.19,-2.39,-2.49
GBPUSD,h04_usd-,1611,-0.2277,-1.49,0.3966,1.1976,-1.4253,-0.19,-3.51,-3.66
GBPUSD,h05_usd+,1534,0.1161,0.8,0.4016,1.1976,-1.0815,0.1,-2.54,-2.92
GBPUSD,h05_usd-,1534,-0.1161,-0.8,0.395,1.1976,-1.3137,-0.1,-3.08,-3.55
GBPUSD,h06_usd+,1534,0.0028,0.02,0.4009,1.1976,-1.1948,0.0,-2.8,-2.93
GBPUSD,h06_usd-,1534,-0.0028,-0.02,0.4074,1.1976,-1.2004,-0.0,-2.82,-2.94
GBPUSD,h07_usd+,1627,-0.2763,-1.28,0.4204,1.1976,-1.4739,-0.23,-3.67,-2.67
GBPUSD,h07_usd-,1627,0.2763,1.28,0.4272,1.1976,-0.9213,0.23,-2.29,-1.67
GBPUSD,h08_usd+,1681,0.5224,1.55,0.4706,1.1976,-0.6753,0.44,-1.74,-0.78
GBPUSD,h08_usd-,1681,-0.5224,-1.55,0.4485,1.1976,-1.72,-0.44,-4.42,-1.99
GBPUSD,h09_usd+,1688,0.0616,0.17,0.4674,1.1976,-1.1361,0.05,-2.93,-1.22
GBPUSD,h09_usd-,1688,-0.0616,-0.17,0.4668,1.1976,-1.2592,-0.05,-3.25,-1.35
GBPUSD,h10_usd+,1682,-0.4239,-1.26,0.4156,1.1976,-1.6215,-0.35,-4.17,-1.89
GBPUSD,h10_usd-,1682,0.4239,1.26,0.4929,1.1976,-0.7737,0.35,-1.99,-0.9
GBPUSD,h11_usd+,1683,-0.2451,-0.85,0.4272,1.1976,-1.4428,-0.2,-3.71,-1.95
GBPUSD,h11_usd-,1683,0.2451,0.85,0.4688,1.1976,-0.9525,0.2,-2.45,-1.29
GBPUSD,h12_usd+,1675,0.7719,2.57,0.474,1.1976,-0.4258,0.64,-1.09,-0.55
GBPUSD,h12_usd-,1675,-0.7719,-2.57,0.4263,1.1976,-1.9695,-0.64,-5.05,-2.57
GBPUSD,h13_usd+,1687,0.2818,0.8,0.4677,1.1976,-0.9158,0.24,-2.36,-1.02
GBPUSD,h13_usd-,1687,-0.2818,-0.8,0.4392,1.1976,-1.4794,-0.24,-3.82,-1.65
GBPUSD,h14_usd+,1679,-0.357,-0.8,0.4586,1.1976,-1.5546,-0.3,-3.99,-1.36
GBPUSD,h14_usd-,1679,0.357,0.8,0.4687,1.1976,-0.8406,0.3,-2.16,-0.73
GBPUSD,h15_usd+,1681,-0.3535,-0.9,0.4426,1.1976,-1.5512,-0.3,-3.99,-1.55
GBPUSD,h15_usd-,1681,0.3535,0.9,0.4848,1.1976,-0.8441,0.3,-2.17,-0.84
GBPUSD,h16_usd+,1684,0.2695,0.58,0.4792,1.1976,-0.9282,0.22,-2.39,-0.78
GBPUSD,h16_usd-,1684,-0.2695,-0.58,0.4555,1.1976,-1.4671,-0.22,-3.78,-1.23
GBPUSD,h17_usd+,1685,-0.5093,-1.47,0.4415,1.1976,-1.7069,-0.43,-4.4,-1.93
GBPUSD,h17_usd-,1685,0.5093,1.47,0.4688,1.1976,-0.6883,0.43,-1.77,-0.78
GBPUSD,h18_usd+,1665,0.3495,1.36,0.4486,1.1976,-0.8481,0.29,-2.16,-1.29
GBPUSD,h18_usd-,1665,-0.3495,-1.36,0.4378,1.1976,-1.5471,-0.29,-3.94,-2.35
GBPUSD,h19_usd+,1644,-0.0946,-0.38,0.4227,1.1976,-1.2922,-0.08,-3.25,-2.05
GBPUSD,h19_usd-,1644,0.0946,0.38,0.4434,1.1976,-1.1031,0.08,-2.77,-1.75
GBPUSD,h20_usd+,1609,-0.0334,-0.12,0.4288,1.1976,-1.231,-0.03,-3.03,-1.75
GBPUSD,h20_usd-,1609,0.0334,0.12,0.4282,1.1976,-1.1642,0.03,-2.87,-1.65
GBPUSD,h21_usd+,1570,-0.3556,-1.72,0.3885,1.1976,-1.5532,-0.3,-3.73,-2.94
GBPUSD,h21_usd-,1570,0.3556,1.72,0.4401,1.1976,-0.842,0.3,-2.02,-1.59
GBPUSD,h22_usd+,1146,-0.4893,-2.73,0.3429,1.1976,-1.6869,-0.41,-2.96,-3.69
GBPUSD,h22_usd-,1146,0.4893,2.73,0.4276,1.1976,-0.7083,0.41,-1.24,-1.55
GBPUSD,h23_usd+,495,1.0973,1.98,0.3879,1.1976,-0.1004,0.92,-0.08,-0.07
GBPUSD,h23_usd-,495,-1.0973,-1.98,0.2848,1.1976,-2.2949,-0.92,-1.74,-1.62
USDJPY,h00_usd+,1263,-0.1202,-0.33,0.4181,1.0688,-1.189,-0.11,-2.3,-1.27
USDJPY,h00_usd-,1263,0.1202,0.33,0.4624,1.0688,-0.9486,0.11,-1.83,-1.01
USDJPY,h01_usd+,1472,-0.2689,-0.83,0.4586,1.0688,-1.3377,-0.25,-3.01,-1.62
USDJPY,h01_usd-,1472,0.2689,0.83,0.4402,1.0688,-0.7999,0.25,-1.8,-0.97
USDJPY,h02_usd+,1666,-0.5744,-1.7,0.4406,1.0688,-1.6433,-0.54,-4.19,-1.91
USDJPY,h02_usd-,1666,0.5744,1.7,0.4526,1.0688,-0.4944,0.54,-1.26,-0.57
USDJPY,h03_usd+,1641,0.3001,0.99,0.4503,1.0688,-0.7687,0.28,-1.93,-0.99
USDJPY,h03_usd-,1641,-0.3001,-0.99,0.4351,1.0688,-1.3689,-0.28,-3.44,-1.77
USDJPY,h04_usd+,1584,0.1437,0.51,0.4249,1.0688,-0.9251,0.13,-2.24,-1.29
USDJPY,h04_usd-,1584,-0.1437,-0.51,0.416,1.0688,-1.2125,-0.13,-2.94,-1.7
USDJPY,h05_usd+,1545,0.1059,0.42,0.4453,1.0688,-0.9629,0.1,-2.28,-1.49
USDJPY,h05_usd-,1545,-0.1059,-0.42,0.4026,1.0688,-1.1747,-0.1,-2.78,-1.82
USDJPY,h06_usd+,1522,0.0157,0.06,0.452,1.0688,-1.0531,0.01,-2.45,-1.48
USDJPY,h06_usd-,1522,-0.0157,-0.06,0.4106,1.0688,-1.0845,-0.01,-2.52,-1.52
USDJPY,h07_usd+,1568,0.2472,1.03,0.4528,1.0688,-0.8216,0.23,-1.97,-1.35
USDJPY,h07_usd-,1568,-0.2472,-1.03,0.4043,1.0688,-1.316,-0.23,-3.16,-2.15
USDJPY,h08_usd+,1662,0.3348,1.03,0.4838,1.0688,-0.734,0.31,-1.87,-0.88
USDJPY,h08_usd-,1662,-0.3348,-1.03,0.4182,1.0688,-1.4036,-0.31,-3.57,-1.69
USDJPY,h09_usd+,1678,-0.0705,-0.21,0.4714,1.0688,-1.1393,-0.07,-2.92,-1.33
USDJPY,h09_usd-,1678,0.0705,0.21,0.4398,1.0688,-0.9983,0.07,-2.56,-1.17
USDJPY,h10_usd+,1667,0.1724,0.54,0.4625,1.0688,-0.8964,0.16,-2.29,-1.09
USDJPY,h10_usd-,1667,-0.1724,-0.54,0.4337,1.0688,-1.2413,-0.16,-3.16,-1.52
USDJPY,h11_usd+,1659,0.3465,1.62,0.4599,1.0688,-0.7224,0.32,-1.83,-1.32
USDJPY,h11_usd-,1659,-0.3465,-1.62,0.4057,1.0688,-1.4153,-0.32,-3.59,-2.59
USDJPY,h12_usd+,1656,0.0738,0.3,0.4457,1.0688,-0.995,0.07,-2.52,-1.6
USDJPY,h12_usd-,1656,-0.0738,-0.3,0.4227,1.0688,-1.1427,-0.07,-2.89,-1.84
USDJPY,h13_usd+,1668,0.2718,1.03,0.4748,1.0688,-0.797,0.25,-2.03,-1.18
USDJPY,h13_usd-,1668,-0.2718,-1.03,0.3957,1.0688,-1.3406,-0.25,-3.42,-1.98
USDJPY,h14_usd+,1672,-0.0486,-0.1,0.4569,1.0688,-1.1174,-0.05,-2.86,-0.86
USDJPY,h14_usd-,1672,0.0486,0.1,0.4593,1.0688,-1.0202,0.05,-2.61,-0.79
USDJPY,h15_usd+,1669,-0.3694,-0.99,0.4673,1.0688,-1.4382,-0.35,-3.67,-1.51
USDJPY,h15_usd-,1669,0.3694,0.99,0.4638,1.0688,-0.6994,0.35,-1.79,-0.73
USDJPY,h16_usd+,1670,0.5306,1.32,0.4892,1.0688,-0.5382,0.5,-1.37,-0.52
USDJPY,h16_usd-,1670,-0.5306,-1.32,0.4425,1.0688,-1.5994,-0.5,-4.09,-1.55
USDJPY,h17_usd+,1660,0.3716,1.17,0.4723,1.0688,-0.6972,0.35,-1.77,-0.86
USDJPY,h17_usd-,1660,-0.3716,-1.17,0.4241,1.0688,-1.4404,-0.35,-3.66,-1.77
USDJPY,h18_usd+,1605,0.163,0.72,0.4667,1.0688,-0.9059,0.15,-2.22,-1.56
USDJPY,h18_usd-,1605,-0.163,-0.72,0.4037,1.0688,-1.2318,-0.15,-3.02,-2.12
USDJPY,h19_usd+,1544,0.4913,1.79,0.4566,1.0688,-0.5775,0.46,-1.36,-0.82
USDJPY,h19_usd-,1544,-0.4913,-1.79,0.3892,1.0688,-1.5601,-0.46,-3.68,-2.23
USDJPY,h20_usd+,1517,-0.0752,-0.29,0.4331,1.0688,-1.144,-0.07,-2.65,-1.71
USDJPY,h20_usd-,1517,0.0752,0.29,0.416,1.0688,-0.9936,0.07,-2.31,-1.48
USDJPY,h21_usd+,1475,0.6012,2.83,0.4522,1.0688,-0.4676,0.56,-1.05,-0.86
USDJPY,h21_usd-,1475,-0.6012,-2.83,0.3593,1.0688,-1.67,-0.56,-3.77,-3.08
USDJPY,h22_usd+,1135,0.3192,1.18,0.4317,1.0688,-0.7496,0.3,-1.3,-1.08
USDJPY,h22_usd-,1135,-0.3192,-1.18,0.3454,1.0688,-1.3881,-0.3,-2.41,-2.0
USDJPY,h23_usd+,353,-1.7317,-2.08,0.2975,1.0688,-2.8005,-1.62,-1.51,-1.31
USDJPY,h23_usd-,353,1.7317,2.08,0.4986,1.0688,0.6628,1.62,0.36,0.31
AUDUSD,h00_usd+,1038,-1.2991,-2.65,0.3314,2.5343,-3.8333,-0.51,-6.09,-3.06
AUDUSD,h00_usd-,1038,1.2991,2.65,0.4451,2.5343,-1.2352,0.51,-1.96,-0.99
AUDUSD,h01_usd+,1322,1.0413,2.68,0.4175,2.5343,-1.493,0.41,-3.02,-1.5
AUDUSD,h01_usd-,1322,-1.0413,-2.68,0.3722,2.5343,-3.5756,-0.41,-7.23,-3.6
AUDUSD,h02_usd+,1648,-0.0449,-0.11,0.4138,2.5343,-2.5792,-0.02,-6.5,-2.48
AUDUSD,h02_usd-,1648,0.0449,0.11,0.4223,2.5343,-2.4894,0.02,-6.27,-2.39
AUDUSD,h03_usd+,1661,-0.698,-1.83,0.3901,2.5343,-3.2323,-0.28,-8.21,-3.32
AUDUSD,h03_usd-,1661,0.698,1.83,0.4262,2.5343,-1.8363,0.28,-4.67,-1.88
AUDUSD,h04_usd+,1639,-0.0414,-0.14,0.3972,2.5343,-2.5757,-0.02,-6.46,-3.28
AUDUSD,h04_usd-,1639,0.0414,0.14,0.3984,2.5343,-2.4928,0.02,-6.25,-3.18
AUDUSD,h05_usd+,1589,-0.0255,-0.1,0.3587,2.5343,-2.5598,-0.01,-6.22,-3.83
AUDUSD,h05_usd-,1589,0.0255,0.1,0.4091,2.5343,-2.5088,0.01,-6.1,-3.75
AUDUSD,h06_usd+,1537,0.1284,0.42,0.3826,2.5343,-2.4059,0.05,-5.66,-3.09
AUDUSD,h06_usd-,1537,-0.1284,-0.42,0.3949,2.5343,-2.6627,-0.05,-6.26,-3.43
AUDUSD,h07_usd+,1615,-0.8189,-2.31,0.369,2.5343,-3.3532,-0.32,-8.28,-3.7
AUDUSD,h07_usd-,1615,0.8189,2.31,0.4111,2.5343,-1.7153,0.32,-4.24,-1.89
AUDUSD,h08_usd+,1659,0.2024,0.55,0.4123,2.5343,-2.3319,0.08,-5.92,-2.48
AUDUSD,h08_usd-,1659,-0.2024,-0.55,0.4256,2.5343,-2.7366,-0.08,-6.94,-2.9
AUDUSD,h09_usd+,1668,-0.2562,-0.66,0.4203,2.5343,-2.7905,-0.1,-7.12,-2.79
AUDUSD,h09_usd-,1668,0.2562,0.66,0.4293,2.5343,-2.2781,0.1,-5.81,-2.28
AUDUSD,h10_usd+,1655,0.6966,2.11,0.4163,2.5343,-1.8377,0.27,-4.65,-2.17
AUDUSD,h10_usd-,1655,-0.6966,-2.11,0.4,2.5343,-3.2309,-0.27,-8.18,-3.82
AUDUSD,h11_usd+,1656,0.2736,0.94,0.3889,2.5343,-2.2607,0.11,-5.73,-3.03
AUDUSD,h11_usd-,1656,-0.2736,-0.94,0.3961,2.5343,-2.8079,-0.11,-7.11,-3.76
AUDUSD,h12_usd+,1643,0.5924,2.05,0.3968,2.5343,-1.9419,0.23,-4.88,-2.63
AUDUSD,h12_usd-,1643,-0.5924,-2.05,0.3628,2.5343,-3.1267,-0.23,-7.86,-4.24
AUDUSD,h13_usd+,1659,0.143,0.42,0.4039,2.5343,-2.3913,0.06,-6.07,-2.75
AUDUSD,h13_usd-,1659,-0.143,-0.42,0.3882,2.5343,-2.6773,-0.06,-6.79,-3.08
AUDUSD,h14_usd+,1678,-0.4485,-0.84,0.4309,2.5343,-2.9827,-0.18,-7.66,-2.18
AUDUSD,h14_usd-,1678,0.4485,0.84,0.435,2.5343,-2.0858,0.18,-5.35,-1.53
AUDUSD,h15_usd+,1666,-0.4794,-1.05,0.4046,2.5343,-3.0136,-0.19,-7.68,-2.57
AUDUSD,h15_usd-,1666,0.4794,1.05,0.4454,2.5343,-2.0549,0.19,-5.24,-1.75
AUDUSD,h16_usd+,1661,0.0854,0.15,0.4293,2.5343,-2.4489,0.03,-6.22,-1.68
AUDUSD,h16_usd-,1661,-0.0854,-0.15,0.4479,2.5343,-2.6197,-0.03,-6.66,-1.8
