session,t_entry,t_exit,instrument,side,entry_px,stop_px,tp1_px,tp2_px,sl_pips,rr1,rr2,asia_range_pips,depth_pips,h1_bias,outcome,r_gross,cost_r,r_net,minutes
2015-01-18,2015-01-19 07:45:00,2015-01-19 08:14:00,EURUSD,-1,1.15712,1.158865,1.15523,1.14601,17.450000000001076,1.0830945558738285,6.366762177650011,21.94999999999947,11.400000000001409,-1,TP1_BE,0.5415472779369143,0.05650228723670646,0.4850449907002078,29.0
2015-02-08,2015-02-09 07:45:00,2015-02-09 08:03:00,EURUSD,-1,1.133985,1.13494,1.130995,1.1295950000000001,9.550000000000392,3.130890052355943,4.596858638743156,30.049999999999244,6.40000000000196,-1,SL,-1.0,0.09993840468124027,-1.0999384046812404,18.0
2015-06-21,2015-06-22 10:00:00,2015-06-22 10:29:00,EURUSD,1,1.136025,1.134005,1.140365,1.14283,20.200000000001328,2.1485148514850123,3.3688118811878724,44.90000000000105,15.700000000000713,1,SL,-1.0,0.04612786860081242,-1.0461278686008124,29.0
2015-06-25,2015-06-26 07:45:00,2015-06-26 08:01:00,EURUSD,-1,1.12045,1.1214899999999999,1.117925,1.1169850000000001,10.399999999999299,2.427884615384672,3.33173076923083,27.49999999999808,5.150000000000432,-1,SL,-1.0,0.09473684210528067,-1.0947368421052808,16.0
2015-07-14,2015-07-15 08:15:00,2015-07-15 12:34:00,EURUSD,-1,1.1024,1.10387,1.0986850000000001,1.097405,14.699999999998603,2.5272108843539223,3.3979591836738487,40.1499999999988,8.699999999999264,-1,TP1_TP2,2.9625850340138857,0.06879865348202428,2.8937863805318615,259.0
2015-07-19,2015-07-20 09:15:00,2015-07-20 14:36:00,EURUSD,-1,1.0847799999999999,1.086045,1.0820599999999998,1.0792849999999996,12.650000000000716,2.1501976284584203,4.343873517786513,27.75000000000194,9.099999999999664,-1,SL,-1.0,0.08216783216782944,-1.0821678321678294,321.0
2015-07-21,2015-07-22 11:00:00,2015-07-22 12:00:00,EURUSD,1,1.0924649999999998,1.0916249999999998,1.096685,1.0968550000000001,8.399999999999519,5.023809523809946,5.226190476191178,42.64999999999741,4.950000000003563,1,SL,-1.0,0.12757201646088917,-1.1275720164608891,60.0
2015-08-03,2015-08-04 08:30:00,2015-08-04 10:00:00,EURUSD,-1,1.0964749999999999,1.098095,1.0932499999999998,1.0898549999999996,16.20000000000177,1.990740740740544,4.086419753086154,33.95000000000259,11.499999999999844,-1,SL,-1.0,0.06872063804216055,-1.0687206380421606,90.0
2015-08-05,2015-08-06 11:30:00,2015-08-06 11:38:00,EURUSD,1,1.090165,1.0892450000000002,1.09442,1.0963500000000002,9.199999999998099,4.625000000000845,6.722826086958028,43.24999999999912,5.499999999998284,1,SL,-1.0,0.10492897115799765,-1.1049289711579977,8.0
2015-08-19,2015-08-20 08:00:00,2015-08-20 11:59:00,EURUSD,1,1.112295,1.11043,1.1148500000000001,1.1179000000000001,18.650000000000055,1.369973190348567,3.0053619302949413,30.49999999999997,10.700000000001264,1,TP1_TP2,2.187667560321754,0.054917454494157664,2.1327501058275966,239.0
2015-09-02,2015-09-03 07:30:00,2015-09-03 08:54:00,EURUSD,-1,1.12271,1.12422,1.120545,1.1175849999999998,15.099999999999003,1.4337748344373096,3.3940397350997396,29.600000000000737,4.150000000000542,-1,SL,-1.0,0.06826286296485068,-1.0682628629648507,84.0
2015-09-20,2015-09-21 08:30:00,2015-09-21 09:09:00,EURUSD,-1,1.1321400000000001,1.133295,1.1284649999999998,1.128225,11.54999999999795,3.1818181818190205,3.3896103896110885,37.35000000000266,7.949999999998791,-1,TP1_TP2,3.2857142857150547,0.08833874458874369,3.197375541126311,39.0
2015-09-22,2015-09-23 07:30:00,2015-09-23 10:48:00,EURUSD,-1,1.11396,1.11575,1.1105200000000002,1.1069900000000004,17.899999999999583,1.9217877094971887,3.893854748603274,35.29999999999811,14.000000000000679,-1,SL,-1.0,0.07178770949719714,-1.071787709497197,198.0
2015-10-06,2015-10-07 10:45:00,2015-10-07 13:46:00,EURUSD,1,1.125295,1.123685,1.12843,1.1315850000000003,16.099999999998893,1.9472049689443016,3.9068322981371324,31.55000000000241,12.899999999997913,1,SL,-1.0,0.05566172957477535,-1.0556617295747754,181.0
2015-10-20,2015-10-21 08:30:00,2015-10-21 09:21:00,EURUSD,-1,1.1367500000000001,1.1376600000000001,1.13436,1.1335950000000001,9.099999999999664,2.626373626373849,3.467032967033116,24.199999999998667,5.80000000000247,-1,TP1_TP2,3.046703296703482,0.09841628959279337,2.9482870071106886,51.0
2015-11-08,2015-11-09 08:30:00,2015-11-09 08:37:00,EURUSD,-1,1.0770149999999998,1.077685,1.072735,1.0720649999999998,6.700000000001705,6.388059701490673,7.388059701490673,44.04999999999992,2.4500000000005073,-1,SL,-1.0,0.13560247542767837,-1.1356024754276783,7.0
2015-11-09,2015-11-10 08:00:00,2015-11-10 11:31:00,EURUSD,-1,1.0759150000000002,1.0767049999999998,1.07374,1.0726749999999998,7.899999999996243,2.7531645569636636,4.101265822787208,23.699999999999832,2.949999999999342,-1,TP1_TP2,3.4272151898754357,0.12623547771811494,3.3009797121573206,211.0
2015-11-22,2015-11-23 08:45:00,2015-11-23 14:01:00,EURUSD,-1,1.063635,1.064695,1.06005,1.0560699999999998,10.599999999998388,3.382075471698789,7.136792452831525,39.80000000000094,3.649999999999487,-1,SL,-1.0,0.08071278825994815,-1.080712788259948,316.0
2015-12-09,2015-12-10 07:15:00,2015-12-10 08:15:00,EURUSD,1,1.09959,1.098575,1.10215,1.103005,10.149999999999881,2.522167487684656,3.3645320197044195,30.399999999999316,2.349999999999852,1,SL,-1.0,0.08645320197042766,-1.0864532019704276,60.0
2015-12-13,2015-12-14 07:45:00,2015-12-14 08:41:00,EURUSD,1,1.09579,1.09473,1.098875,1.0999349999999999,10.600000000000609,2.910377358490403,3.9103773584901935,34.399999999998876,4.0500000000021075,1,SL,-1.0,0.08340820604971809,-1.083408206049718,56.0
2016-01-13,2016-01-14 08:15:00,2016-01-14 09:01:00,EURUSD,1,1.08674,1.0853650000000001,1.0896849999999998,1.0926899999999997,13.74999999999904,2.141818181818152,4.327272727272795,30.049999999999244,10.149999999997661,1,TP1_TP2,3.234545454545473,0.07064935064937532,3.1638961038960978,46.0
2016-01-20,2016-01-21 12:00:00,2016-01-21 13:32:00,EURUSD,-1,1.090535,1.091595,1.086725,1.086045,10.600000000000609,3.594339622641389,4.235849056603629,38.30000000000222,7.399999999999629,-1,SL,-1.0,0.08433390508860854,-1.0843339050886085,92.0
2016-01-24,2016-01-25 07:45:00,2016-01-25 08:15:00,EURUSD,-1,1.0818699999999999,1.0825850000000001,1.078995,1.07896,7.150000000002432,4.020979020977599,4.069930069928641,29.300000000000992,3.60000000000138,-1,SL,-1.0,0.12927612927608517,-1.1292761292760851,30.0
2016-01-27,2016-01-28 07:15:00,2016-01-28 09:08:00,EURUSD,1,1.08741,1.086675,1.0907300000000002,1.091205,7.3499999999993015,4.517006802721806,5.16326530612293,34.10000000000135,3.450000000000397,1,TP1_TP2,4.840136054422368,0.1185243328100308,4.721611721612337,113.0
2016-02-04,2016-02-05 09:45:00,2016-02-05 13:30:00,EURUSD,1,1.119005,1.11809,1.1216599999999999,1.122125,9.149999999999991,2.901639344262136,3.4098360655737863,30.600000000000627,2.0999999999982144,1,TP1_TP2,3.155737704917961,0.10262109845326223,3.053116606464699,225.0
2016-02-09,2016-02-10 08:15:00,2016-02-10 08:28:00,EURUSD,1,1.129,1.1276249999999999,1.13116,1.133795,13.750000000001261,1.570909090908903,3.4872727272724835,26.850000000000485,5.5000000000005045,1,SL,-1.0,0.06466666666666339,-1.0646666666666633,13.0
2016-02-11,2016-02-12 10:00:00,2016-02-12 10:07:00,EURUSD,1,1.1295799999999998,1.128185,1.13339,1.1354700000000002,13.94999999999813,2.731182795699356,4.222222222223071,41.29999999999967,7.749999999999702,1,SL,-1.0,0.07960951711966713,-1.0796095171196671,7.0
2016-02-15,2016-02-16 10:30:00,2016-02-16 14:56:00,EURUSD,-1,1.1182050000000001,1.11926,1.114665,1.114445,10.549999999998061,3.3554502369675347,3.56398104265488,37.0999999999988,5.850000000000577,-1,TP1_TP2,3.4597156398112077,0.08880019955102592,3.3709154402601818,266.0
2016-03-02,2016-03-03 11:30:00,2016-03-03 11:35:00,EURUSD,-1,1.087355,1.0879999999999999,1.085365,1.084705,6.449999999997846,3.085271317830733,4.108527131784381,21.300000000001873,2.049999999997887,-1,SL,-1.0,0.1426686458848611,-1.1426686458848612,5.0
2016-03-24,2016-03-25 11:45:00,2016-03-25 20:00:00,EURUSD,-1,1.116935,1.117465,1.11539,1.11502,5.299999999999194,2.91509433962291,3.6132075471705702,15.699999999998493,2.0500000000001073,-1,TIME,-0.08490566037708973,0.20125786163528497,-0.2861635220123747,495.0
2016-04-03,2016-04-04 08:45:00,2016-04-04 09:09:00,EURUSD,1,1.137385,1.1365100000000001,1.14127,1.143795,8.749999999999591,4.440000000000111,7.325714285714405,41.50000000000098,3.0999999999981043,1,SL,-1.0,0.10481962481961545,-1.1048196248196154,24.0
2016-04-10,2016-04-11 11:15:00,2016-04-11 17:35:00,EURUSD,1,1.13978,1.1383699999999999,1.1428150000000001,1.1460950000000003,14.100000000001334,2.1524822695034285,4.478723404255103,32.80000000000172,8.650000000001157,1,TP1_BE,1.0762411347517142,0.06728939629819693,1.0089517384535174,380.0
2016-05-01,2016-05-02 07:15:00,2016-05-02 13:57:00,EURUSD,1,1.145855,1.14453,1.1481400000000002,1.1506950000000002,13.250000000000206,1.7245283018868354,3.6528301886793226,25.55000000000085,7.550000000000612,1,TP1_TP2,2.688679245283079,0.07381752390797369,2.614861721375105,402.0
2016-05-09,2016-05-10 07:45:00,2016-05-10 13:35:00,EURUSD,-1,1.13925,1.1401899999999998,1.1370049999999998,1.1345899999999998,9.399999999997188,2.388297872341432,4.957446808512473,24.15000000000056,4.699999999999704,-1,TP1_BE,1.194148936170716,0.09638942617668948,1.0977595099940265,350.0
2016-05-11,2016-05-12 09:15:00,2016-05-12 10:18:00,EURUSD,1,1.141265,1.14032,1.142925,1.144665,9.449999999999736,1.7566137566138,3.5978835978837718,18.15000000000122,4.899999999998794,1,SL,-1.0,0.09171075837743291,-1.0917107583774328,63.0
2016-05-16,2016-05-17 07:30:00,2016-05-17 07:59:00,EURUSD,-1,1.133205,1.1339650000000001,1.13111,1.1307399999999999,7.600000000000939,2.756578947368025,3.2434210526313905,22.050000000000125,3.5000000000007248,-1,SL,-1.0,0.12631578947367847,-1.1263157894736784,29.0
2016-06-09,2016-06-10 08:30:00,2016-06-10 12:20:00,EURUSD,-1,1.131165,1.13201,1.129,1.1268150000000001,8.449999999999847,2.562130177514807,5.147928994082761,21.849999999998815,5.250000000001087,-1,TP1_BE,1.2810650887574035,0.11286203674870088,1.1682030520087028,230.0
2016-06-12,2016-06-13 07:15:00,2016-06-13 08:12:00,EURUSD,-1,1.126365,1.12741,1.1232449999999998,1.1198499999999996,10.449999999999626,2.9856459330146845,6.234449760766244,33.95000000000259,4.699999999999704,-1,SL,-1.0,0.0822680854102819,-1.082268085410282,57.0
2016-06-21,2016-06-22 08:30:00,2016-06-22 09:48:00,EURUSD,-1,1.1273749999999998,1.1281299999999999,1.12368,1.119895,7.550000000000612,4.894039735098652,9.907284768210733,37.84999999999927,3.649999999999487,-1,SL,-1.0,0.1277558890099343,-1.1277558890099342,78.0
2016-07-05,2016-07-06 08:00:00,2016-07-06 08:05:00,EURUSD,-1,1.1065200000000002,1.10761,1.10361,1.100365,10.899999999998133,2.6697247706428335,5.646788990826777,32.44999999999942,4.550000000000942,-1,SL,-1.0,0.08363914373089767,-1.0836391437308976,5.0
2016-07-07,2016-07-08 10:45:00,2016-07-08 12:30:00,EURUSD,1,1.106415,1.105425,1.108995,1.109975,9.899999999998244,2.6060606060610954,3.5959595959602417,27.600000000000957,5.099999999997884,1,SL,-1.0,0.08727272727273913,-1.0872727272727392,105.0
2016-08-08,2016-08-09 09:30:00,2016-08-09 13:48:00,EURUSD,-1,1.10904,1.109835,1.107065,1.10459,7.949999999998791,2.4842767295602015,5.597484276730492,20.000000000002238,4.699999999997484,-1,SL,-1.0,0.10735298379857838,-1.1073529837985783,258.0
2016-08-18,2016-08-19 11:15:00,2016-08-19 11:57:00,EURUSD,1,1.132795,1.1321,1.134805,1.1348950000000002,6.9499999999989015,2.892086330935806,3.0215827338137333,20.299999999999763,3.750000000000142,1,SL,-1.0,0.12392438989982378,-1.1239243898998237,42.0
2016-08-25,2016-08-26 08:15:00,2016-08-26 13:08:00,EURUSD,1,1.129125,1.12801,1.1307749999999999,1.1329599999999997,11.149999999999771,1.4798206278026576,3.4394618834079727,21.849999999998815,2.80000000000058,1,TP1_BE,0.7399103139013288,0.07693807459844432,0.6629722393028845,293.0
2016-09-01,2016-09-02 11:15:00,2016-09-02 12:29:00,EURUSD,1,1.1188349999999998,1.118055,1.12083,1.12296,7.799999999997809,2.557692307693271,5.288461538463225,21.299999999999653,3.450000000000397,1,SL,-1.0,0.11034798534799205,-1.110347985347992,74.0
2016-09-08,2016-09-09 11:15:00,2016-09-09 12:16:00,EURUSD,1,1.12663,1.1256950000000001,1.128505,1.132705,9.349999999999081,2.005347593583161,6.4973262032092505,22.55000000000118,2.549999999998942,1,SL,-1.0,0.10374331550804289,-1.103743315508043,61.0
2016-09-27,2016-09-28 10:00:00,2016-09-28 12:07:00,EURUSD,-1,1.121465,1.12224,1.11958,1.11911,7.749999999999702,2.4322580645161125,3.0387096774193236,21.299999999999653,2.2999999999995246,-1,SL,-1.0,0.11551459293393393,-1.1155145929339338,127.0
2016-10-16,2016-10-17 10:00:00,2016-10-17 11:43:00,EURUSD,-1,1.098975,1.0999299999999999,1.09639,1.09349,9.549999999998171,2.7068062827230936,5.743455497383259,28.999999999999027,3.4000000000000696,-1,SL,-1.0,0.09548318395606552,-1.0954831839560655,103.0
2016-10-19,2016-10-20 12:00:00,2016-10-20 12:32:00,EURUSD,-1,1.09761,1.09899,1.09524,1.092505,13.799999999999368,1.7173913043478926,3.6992753623189483,27.34999999999932,7.150000000000212,-1,SL,-1.0,0.06428649655024131,-1.0642864965502412,32.0
2016-10-24,2016-10-25 10:00:00,2016-10-25 12:53:00,EURUSD,-1,1.088505,1.089145,1.086815,1.086465,6.399999999999739,2.6406250000000595,3.187500000000195,18.050000000000566,2.249999999999197,-1,TP1_TP2,2.914062500000127,0.15104166666666824,2.7630208333334587,173.0
2016-10-30,2016-10-31 07:45:00,2016-10-31 08:47:00,EURUSD,1,1.0961750000000001,1.09533,1.0982500000000002,1.099175,8.450000000002067,2.455621301774605,3.550295857987169,21.600000000001618,4.60000000000127,1,SL,-1.0,0.11360946745558008,-1.11360946745558,62.0
2016-11-02,2016-11-03 10:15:00,2016-11-03 10:58:00,EURUSD,1,1.10954,1.1083550000000002,1.112595,1.116035,11.849999999997696,2.5780590717304843,5.481012658229032,34.40000000000109,4.999999999997229,1,SL,-1.0,0.07730482499289332,-1.0773048249928934,43.0
2016-11-16,2016-11-17 08:45:00,2016-11-17 08:48:00,EURUSD,-1,1.071285,1.0721800000000001,1.06834,1.066745,8.950000000000902,3.2905027932957305,5.072625698323498,31.249999999998224,4.150000000002763,-1,SL,-1.0,0.1033174701703483,-1.1033174701703483,3.0
2016-11-29,2016-11-30 07:30:00,2016-11-30 08:06:00,EURUSD,1,1.063155,1.061935,1.06604,1.0693200000000003,12.199999999999989,2.3647540983606796,5.053278688524757,32.80000000000172,5.249999999998867,1,SL,-1.0,0.08023679417122058,-1.0802367941712205,36.0
2016-12-01,2016-12-02 09:00:00,2016-12-02 09:36:00,EURUSD,1,1.066345,1.0651599999999999,1.0689899999999999,1.0718949999999996,11.850000000002137,2.2320675105479406,4.683544303796202,29.049999999997134,6.250000000003197,1,SL,-1.0,0.07585764079982732,-1.0758576407998273,36.0
2016-12-08,2016-12-09 09:15:00,2016-12-09 09:52:00,EURUSD,-1,1.06147,1.0626200000000001,1.05892,1.05573,11.500000000002064,2.2173913043472804,4.991304347825066,31.90000000000026,2.100000000000435,-1,SL,-1.0,0.07615283267456464,-1.0761528326745646,37.0
