nhóm,họ,cặp,tf,ALL,FORM,OOS,ann%,maxDD%,n_lệnh,gross,phí,swap,net,giữ,%tt
?,pha_ASI->OVE_b0.25,GBPUSD,M30,-0.619,-0.524,-0.837,-3.36,22.75,1521,0.19,1.2,0.06,-1.07,6.8,0.14
?,pha_LON->OVE_b0.0,GBPUSD,M30,-0.889,-0.689,-1.324,-4.12,29.07,1288,-0.46,1.2,0.05,-1.7,5.6,0.09
?,pha_LON->OVE_b0.25,GBPUSD,M30,-0.981,-0.887,-1.201,-4.03,27.04,1165,-0.5,1.2,0.04,-1.75,5.2,0.08
?,pha_ngay_truoc,GBPUSD,M30,-0.88,-0.916,-0.831,-7.3,47.25,1296,-1.38,1.31,0.33,-3.02,39.8,0.68
?,rsi_goc,EURUSD,H1,0.033,-0.071,0.209,0.16,7.01,561,0.42,0.91,0.33,-0.82,20.2,0.31
?,bb_goc,EURUSD,H1,-0.061,0.131,-0.378,-0.36,9.81,1391,0.87,0.91,0.21,-0.26,12.9,0.49
?,bb_phien_LON,EURUSD,H1,0.167,0.438,-0.283,0.75,6.63,870,1.17,0.91,0.16,0.09,9.9,0.23
?,bb_phien_OVE,EURUSD,H1,-0.035,0.101,-0.256,-0.16,8.39,900,0.86,0.91,0.19,-0.24,11.4,0.28
?,bb_phien_ASI,EURUSD,H1,0.09,0.243,-0.168,0.41,6.33,964,1.14,0.91,0.19,0.04,11.5,0.3
?,bb_phien_LON+OVE,EURUSD,H1,-0.106,-0.003,-0.284,-0.57,8.26,1166,0.6,0.91,0.18,-0.49,10.8,0.34
?,bb_vol_THAP,EURUSD,H1,-0.447,-0.4,-0.533,-1.79,12.42,1166,-0.07,0.91,0.12,-1.1,7.5,0.24
?,bb_vol_CAO,EURUSD,H1,0.008,0.24,-0.358,0.04,10.42,1218,1.05,0.91,0.12,0.02,7.6,0.25
?,bb_adx<25,EURUSD,H1,-0.609,-0.304,-1.063,-2.22,15.43,1003,-0.52,0.91,0.11,-1.53,6.4,0.18
?,bb_volTHAP+adx,EURUSD,H1,-0.763,-0.52,-1.139,-2.04,13.34,664,-1.22,0.91,0.09,-2.22,5.3,0.1
?,bb_mtf,EURUSD,H1,-0.119,0.036,-0.384,-0.51,9.25,847,0.41,0.91,0.17,-0.67,10.5,0.24
?,hop_luu_2/3,EURUSD,H1,-0.137,0.09,-0.517,-0.8,10.48,1354,0.53,0.91,0.21,-0.59,12.8,0.47
?,hop_luu_3/3,EURUSD,H1,0.285,0.262,0.324,1.11,6.32,557,2.38,0.91,0.24,1.23,14.7,0.22
?,pha_ASI->LON_b0.0,EURUSD,H1,-0.247,-0.236,-0.269,-0.96,9.59,1375,0.68,0.91,0.06,-0.29,3.9,0.15
?,pha_ASI->LON_b0.25,EURUSD,H1,-0.333,-0.386,-0.245,-1.19,10.7,1221,0.43,0.91,0.06,-0.54,3.6,0.12
?,pha_ASI->OVE_b0.0,EURUSD,H1,-0.678,-0.395,-1.249,-3.19,20.44,1537,-0.17,0.91,0.06,-1.14,3.6,0.15
?,pha_ASI->OVE_b0.25,EURUSD,H1,-0.546,-0.245,-1.167,-2.4,15.49,1447,0.17,0.91,0.06,-0.8,3.5,0.14
?,pha_LON->OVE_b0.0,EURUSD,H1,-1.108,-0.799,-1.704,-4.26,27.3,1255,-1.19,0.91,0.05,-2.15,3.0,0.1
?,pha_LON->OVE_b0.25,EURUSD,H1,-0.872,-0.684,-1.267,-2.99,19.39,1081,-0.79,0.91,0.05,-1.75,2.8,0.08
?,pha_ngay_truoc,EURUSD,H1,-0.804,-0.766,-0.876,-5.8,37.9,1225,-1.28,0.97,0.32,-2.56,19.2,0.64
?,rsi_goc,GBPUSD,H1,0.28,0.568,-0.255,1.5,8.03,553,1.7,1.2,0.33,0.18,19.8,0.3
?,bb_goc,GBPUSD,H1,-0.247,-0.152,-0.451,-1.68,15.67,1382,0.51,1.2,0.22,-0.9,13.2,0.49
?,bb_phien_LON,GBPUSD,H1,-0.097,0.17,-0.634,-0.51,17.93,852,1.16,1.2,0.17,-0.21,10.4,0.24
?,bb_phien_OVE,GBPUSD,H1,-0.295,-0.276,-0.338,-1.5,16.27,891,-0.03,1.2,0.19,-1.42,11.6,0.28
?,bb_phien_ASI,GBPUSD,H1,-0.279,-0.212,-0.425,-1.45,11.82,932,0.15,1.2,0.2,-1.25,12.1,0.31
?,bb_phien_LON+OVE,GBPUSD,H1,-0.046,0.134,-0.411,-0.28,12.99,1158,1.06,1.2,0.18,-0.32,10.9,0.34
?,bb_vol_THAP,GBPUSD,H1,-0.374,-0.237,-0.668,-1.75,14.0,1186,0.47,1.2,0.12,-0.85,7.3,0.23
?,bb_vol_CAO,GBPUSD,H1,-0.372,-0.346,-0.431,-1.83,13.8,1228,0.13,1.2,0.13,-1.19,7.7,0.26
?,bb_adx<25,GBPUSD,H1,-0.36,-0.312,-0.462,-1.52,12.72,1041,0.35,1.2,0.1,-0.95,6.3,0.18
?,bb_volTHAP+adx,GBPUSD,H1,-0.463,-0.447,-0.511,-1.48,10.76,700,0.15,1.2,0.08,-1.13,5.0,0.09
?,bb_mtf,GBPUSD,H1,-0.008,0.03,-0.088,-0.04,15.05,925,1.13,1.2,0.18,-0.24,10.7,0.27
?,hop_luu_2/3,GBPUSD,H1,-0.434,-0.339,-0.643,-2.9,20.37,1354,-0.11,1.2,0.22,-1.53,13.1,0.48
?,hop_luu_3/3,GBPUSD,H1,0.131,0.286,-0.158,0.57,5.92,541,1.41,1.2,0.26,-0.05,15.7,0.23
?,pha_ASI->LON_b0.0,GBPUSD,H1,-0.697,-0.672,-0.775,-3.29,23.71,1429,-0.27,1.2,0.06,-1.53,3.9,0.15
?,pha_ASI->LON_b0.25,GBPUSD,H1,-0.676,-0.557,-0.93,-2.95,21.29,1261,-0.24,1.2,0.06,-1.5,3.7,0.12
?,pha_ASI->OVE_b0.0,GBPUSD,H1,-0.522,-0.117,-1.376,-2.74,20.71,1539,0.58,1.2,0.06,-0.67,3.5,0.15
?,pha_ASI->OVE_b0.25,GBPUSD,H1,-0.546,-0.366,-0.956,-2.74,20.04,1428,0.46,1.2,0.06,-0.79,3.4,0.13
?,pha_LON->OVE_b0.0,GBPUSD,H1,-0.743,-0.566,-1.119,-3.07,20.64,1199,0.11,1.2,0.05,-1.13,3.0,0.1
?,pha_LON->OVE_b0.25,GBPUSD,H1,-0.709,-0.546,-1.029,-2.57,17.46,1025,0.23,1.2,0.05,-1.01,2.8,0.08
?,pha_ngay_truoc,GBPUSD,H1,-0.752,-0.795,-0.686,-6.06,39.83,1213,-0.92,1.29,0.32,-2.53,19.5,0.64
?,rsi_goc,EURUSD,H4,0.351,0.224,0.597,1.76,7.42,168,4.67,0.92,1.25,2.51,18.9,0.31
?,bb_goc,EURUSD,H4,0.306,0.23,0.437,1.93,10.62,360,2.96,0.92,0.88,1.16,13.3,0.47
?,bb_phien_LON,EURUSD,H4,0.445,0.38,0.567,2.62,7.28,333,4.22,0.92,0.8,2.5,12.1,0.4
?,bb_phien_OVE,EURUSD,H4,0.326,0.252,0.474,1.81,10.66,321,3.34,0.92,0.79,1.63,11.9,0.37
?,bb_phien_ASI,EURUSD,H4,0.328,0.164,0.611,2.01,9.39,334,3.31,0.92,0.87,1.52,13.2,0.43
?,bb_phien_LON+OVE,EURUSD,H4,0.455,0.374,0.606,2.71,8.21,338,4.36,0.92,0.81,2.63,12.2,0.41
?,bb_vol_THAP,EURUSD,H4,0.303,0.118,0.6,1.23,5.86,315,3.29,0.92,0.5,1.88,7.5,0.23
?,bb_vol_CAO,EURUSD,H4,0.067,0.119,-0.024,0.33,9.11,316,0.19,0.92,0.49,-1.22,7.5,0.23
?,bb_adx<25,EURUSD,H4,-0.036,0.008,-0.108,-0.15,8.57,270,0.63,0.92,0.43,-0.71,6.5,0.17
?,bb_volTHAP+adx,EURUSD,H4,-0.004,-0.262,0.412,-0.01,4.43,202,1.17,0.92,0.31,-0.05,4.7,0.09
?,bb_mtf,EURUSD,H4,0.079,-0.068,0.349,0.38,8.74,207,2.86,0.92,0.79,1.16,11.9,0.24
?,hop_luu_2/3,EURUSD,H4,0.374,0.241,0.603,2.35,9.72,361,3.6,0.92,0.86,1.83,13.0,0.46
?,hop_luu_3/3,EURUSD,H4,0.48,0.517,0.418,2.06,5.07,149,7.32,0.92,0.98,5.42,14.8,0.22
?,pha_ASI->LON_b0.0,EURUSD,H4,-0.326,-0.335,-0.32,-1.3,11.54,831,0.14,0.92,0.07,-0.85,1.0,0.08
?,pha_ASI->LON_b0.25,EURUSD,H4,-0.136,-0.334,0.306,-0.45,10.02,558,0.99,0.92,0.07,0.0,1.0,0.05
?,pha_ASI->OVE_b0.0,EURUSD,H4,-0.404,-0.434,-0.355,-1.16,9.81,1126,0.2,0.92,0.07,-0.78,1.0,0.11
?,pha_ASI->OVE_b0.25,EURUSD,H4,-0.353,-0.519,-0.066,-0.93,9.77,915,0.11,0.92,0.07,-0.88,1.0,0.09
?,pha_LON->OVE_b0.0,EURUSD,H4,-0.213,-0.396,0.112,-0.58,7.13,988,0.4,0.92,0.07,-0.59,1.0,0.1
?,pha_LON->OVE_b0.25,EURUSD,H4,-0.326,-0.648,0.229,-0.76,8.21,704,0.08,0.92,0.07,-0.91,1.0,0.07
?,pha_ngay_truoc,EURUSD,H4,-0.564,-0.386,-0.869,-3.41,23.46,1031,-0.46,0.96,0.33,-1.74,4.9,0.5
?,rsi_goc,GBPUSD,H4,0.185,0.327,-0.085,0.94,9.93,163,8.86,1.22,1.14,6.5,17.2,0.28
?,bb_goc,GBPUSD,H4,0.227,0.377,-0.075,1.59,11.28,366,3.23,1.22,0.84,1.18,12.6,0.46
?,bb_phien_LON,GBPUSD,H4,0.238,0.448,-0.184,1.55,12.14,327,2.93,1.22,0.76,0.95,11.5,0.37
?,bb_phien_OVE,GBPUSD,H4,0.58,0.997,-0.284,3.46,11.54,327,7.49,1.22,0.73,5.55,11.1,0.36
?,bb_phien_ASI,GBPUSD,H4,0.122,0.238,-0.117,0.84,10.37,339,1.83,1.22,0.82,-0.21,12.4,0.41
?,bb_phien_LON+OVE,GBPUSD,H4,0.22,0.478,-0.302,1.44,12.81,343,2.83,1.22,0.76,0.86,11.4,0.39
?,bb_vol_THAP,GBPUSD,H4,0.844,0.851,0.846,3.64,4.84,323,9.31,1.22,0.47,7.62,7.2,0.23
?,bb_vol_CAO,GBPUSD,H4,-0.462,-0.25,-0.946,-2.53,22.44,297,-6.5,1.22,0.51,-8.22,7.6,0.22
