,lãi_usd,lãi_pct,lãi_năm_usd,lãi_năm_pct,maxdd_usd,maxdd_pct,dd_ngày_dài_nhất,vol_năm_pct,sharpe,sortino,calmar,ngày_thắng_pct,profit_factor,ngày_tốt_nhất_usd,ngày_tệ_nhất_usd,tháng_thắng_pct,chuỗi_tháng_thua,equity_cuối,mục_tiêu_vol
THẬN TRỌNG,178286.14834549883,178.28614834549882,27269.269549075983,27.26926954907598,9116.95881732169,5.270811332275803,117.0,6.0,3.134373474470894,4.252831725715554,5.173637952489907,60.763888888888886,1.9915358121687037,6400.606587103983,-2027.6087086077962,87.34177215189874,1.0,278286.14834549883,6.0
CHUẨN,297143.5805758318,297.14358057583183,45448.78258179337,45.448782581793374,15194.931362202798,7.1625852391519,117.0,10.0,3.134373474470895,4.252831725715556,6.34530425318538,60.763888888888886,1.9915358121687035,10667.677645173308,-3379.3478476796613,87.34177215189874,1.0,397143.5805758318,10.0
MẠO HIỂM,445715.37086374767,445.71537086374764,68173.17387269005,68.17317387269004,22792.397043304227,8.729085676420132,117.0,15.0,3.1343734744708938,4.252831725715554,7.809887129054782,60.763888888888886,1.9915358121687037,16001.51646775996,-5069.021771519491,87.34177215189874,1.0,545715.3708637477,15.0
FTMO,126418.68311056835,126.41868311056834,19336.023453155398,19.336023453155395,12352.558332829256,8.984074070179979,196.0,5.04065534399686,2.645505383152309,2.649894399739549,2.1522555693675436,63.49206349206349,1.8082547316056594,3503.675827885179,-2644.2722953303146,82.27848101265823,2.0,226418.68311056835,
